ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
com.mxgraph.layout.orthogonal.mxOrthogonalLayout;4.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.model.mxCell;64.0;57.5;1.0059259250760078;2.604166666666667;0;0
com.mxgraph.model.mxCellPath;6.0;57.5;1.3333333333333333;2.604166666666667;0;0
com.mxgraph.model.mxGeometry;27.0;57.5;1.0234375;2.604166666666667;0;1
com.mxgraph.model.mxGraphModel;95.0;57.5;1.001338688005884;2.604166666666667;0;1
com.mxgraph.model.mxICell;34.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.model.mxIGraphModel;32.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.reader.mxDomOutputParser;6.0;57.5;1.0;2.604166666666667;0;0
com.mxgraph.reader.mxGraphViewImageReader;24.0;57.5;1.0769230769230769;2.604166666666667;0;0
com.mxgraph.reader.mxGraphViewReader;12.0;57.5;1.1111111094554265;2.604166666666667;0;1
com.mxgraph.reader.mxSaxOutputHandler;8.0;57.5;1.0;2.604166666666667;0;0
com.mxgraph.shape.mxActorShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxArrowShape;2.0;57.5;0.0;2.604166666666667;0;2
com.mxgraph.shape.mxBasicShape;9.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxCloudShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxConnectorShape;7.0;57.5;0.0;2.604166666666667;0;2
com.mxgraph.shape.mxCurveLabelShape;29.0;57.5;1.0764705881476402;2.604166666666667;0;2
com.mxgraph.shape.mxCurveShape;8.0;57.5;0.5;2.604166666666667;0;0
com.mxgraph.shape.mxCylinderShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxDefaultTextShape;3.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxDoubleEllipseShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxDoubleRectangleShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxEllipseShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxHexagonShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxHtmlTextShape;6.0;57.5;1.3333333333333333;2.604166666666667;0;1
com.mxgraph.shape.mxIMarker;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.shape.mxIShape;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.shape.mxITextShape;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.shape.mxImageShape;7.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxLabelShape;7.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxLineShape;3.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxMarkerRegistry;4.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.shape.mxRectangleShape;3.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxRhombusShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxStencil;25.0;57.5;1.0384615378884168;2.604166666666667;0;3
com.mxgraph.shape.mxStencilRegistry;4.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.shape.mxStencilShape;31.0;57.5;1.0263157894736843;2.604166666666667;0;1
com.mxgraph.shape.mxSwimlaneShape;9.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxTriangleShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.swing.handler.mxCellHandler;40.0;57.5;0.9875;2.604166666666667;0;1
com.mxgraph.swing.handler.mxCellMarker;52.0;57.5;1.0086580076904008;2.604166666666667;0;2
com.mxgraph.swing.handler.mxCellTracker;10.0;57.5;1.1428571428571428;2.604166666666667;0;0
com.mxgraph.swing.handler.mxConnectPreview;20.0;57.5;0.8392857142857143;2.604166666666667;0;2
com.mxgraph.swing.handler.mxConnectionHandler;59.0;57.5;0.9806094179420095;2.604166666666667;0;2
com.mxgraph.swing.handler.mxEdgeHandler;36.0;57.5;1.0119047611951828;2.604166666666667;0;2
com.mxgraph.swing.handler.mxElbowEdgeHandler;5.0;57.5;0.0;2.604166666666667;0;2
com.mxgraph.swing.handler.mxGraphHandler;86.0;57.5;0.993464051508436;2.604166666666667;0;3
com.mxgraph.swing.handler.mxGraphTransferHandler;35.0;57.5;1.035714285359496;2.604166666666667;0;2
com.mxgraph.swing.handler.mxInsertHandler;24.0;57.5;0.9743589735948123;2.604166666666667;0;1
com.mxgraph.swing.handler.mxKeyboardHandler;4.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.swing.handler.mxMovePreview;37.0;57.5;1.0034965019334445;2.604166666666667;0;1
com.mxgraph.swing.handler.mxPanningHandler;11.0;57.5;1.05;2.604166666666667;0;0
com.mxgraph.swing.handler.mxRotationHandler;22.0;57.5;0.929292928088795;2.604166666666667;0;1
com.mxgraph.swing.handler.mxRubberband;25.0;57.5;0.9999999982469222;2.604166666666667;0;0
com.mxgraph.swing.handler.mxSelectionCellsHandler;32.0;57.5;0.974999998882413;2.604166666666667;0;1
com.mxgraph.swing.handler.mxVertexHandler;15.0;57.5;1.1;2.604166666666667;0;2
com.mxgraph.swing.mxGraphComponent;265.0;57.5;0.999563699783221;2.604166666666667;0;2
com.mxgraph.swing.mxGraphOutline;50.0;57.5;1.0208695657227351;2.604166666666667;0;1
com.mxgraph.swing.util.mxAnimation;11.0;57.5;1.0666666626930237;2.604166666666667;0;0
com.mxgraph.swing.util.mxCellOverlay;12.0;57.5;1.0399999976158143;2.604166666666667;0;2
com.mxgraph.swing.util.mxGraphActions;50.0;57.5;1.0416666666666667;2.604166666666667;0;0
com.mxgraph.swing.util.mxGraphTransferable;31.0;57.5;1.0481283419272478;2.604166666666667;0;0
com.mxgraph.swing.util.mxICellOverlay;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.swing.util.mxMorphing;23.0;57.5;0.96875;2.604166666666667;0;2
com.mxgraph.swing.util.mxMouseAdapter;9.0;57.5;1.1666666666666667;2.604166666666667;0;0
com.mxgraph.swing.util.mxSwingConstants;19.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.swing.view.mxCellEditor;48.0;57.5;1.0228571434106146;2.604166666666667;0;2
com.mxgraph.swing.view.mxCellStatePreview;27.0;57.5;0.9210526276575891;2.604166666666667;0;2
com.mxgraph.swing.view.mxICellEditor;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.swing.view.mxInteractiveCanvas;10.0;57.5;1.1666666666666667;2.604166666666667;0;2
com.mxgraph.util.mxBase64;12.0;57.5;1.125;2.604166666666667;0;0
com.mxgraph.util.mxCellRenderer;7.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.util.mxConstants;191.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.mxCurve;40.0;57.5;0.9935897417987386;2.604166666666667;0;1
com.mxgraph.util.mxDomUtils;5.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.mxEvent;58.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.mxEventObject;10.0;57.5;1.1666666641831398;2.604166666666667;0;0
com.mxgraph.util.mxEventSource;14.0;57.5;0.9999999962747097;2.604166666666667;0;0
com.mxgraph.util.mxHtmlColor;12.0;57.5;0.9999999957425254;2.604166666666667;0;0
com.mxgraph.util.mxImage;11.0;57.5;1.2;2.604166666666667;0;0
com.mxgraph.util.mxImageBundle;5.0;57.5;0.5;2.604166666666667;0;0
com.mxgraph.util.mxLightweightLabel;18.0;57.5;1.0769230769230769;2.604166666666667;0;0
com.mxgraph.util.mxLine;9.0;57.5;1.0;2.604166666666667;0;1
com.mxgraph.util.mxPoint;15.0;57.5;1.1428571428571428;2.604166666666667;0;0
com.mxgraph.util.mxRectangle;23.0;57.5;1.0666666666666667;2.604166666666667;0;0
com.mxgraph.util.mxResources;12.0;57.5;0.875;2.604166666666667;0;0
com.mxgraph.util.mxSpline;14.0;57.5;1.0;2.604166666666667;0;1
com.mxgraph.util.mxSpline1D;14.0;57.5;1.2;2.604166666666667;0;0
com.mxgraph.util.mxStyleUtils;11.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.mxUndoManager;13.0;57.5;0.8571428486279079;2.604166666666667;1;0
com.mxgraph.util.mxUndoableEdit;18.0;57.5;1.0199999988079071;2.604166666666667;0;0
com.mxgraph.util.mxUtils;93.0;57.5;0.9913793103448276;2.604166666666667;0;2
com.mxgraph.util.mxXmlUtils;6.0;57.5;0.75;2.604166666666667;0;0
com.mxgraph.util.png.CRC;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.png.ChunkStream;20.0;57.5;0.6444444318612417;2.604166666666667;0;0
com.mxgraph.util.png.IDATOutputStream;11.0;57.5;1.2;2.604166666666667;0;0
com.mxgraph.util.png.mxPngEncodeParam;103.0;57.5;1.0132990132366855;2.604166666666667;0;1
com.mxgraph.util.png.mxPngImageEncoder;55.0;57.5;1.0114942529859643;2.604166666666667;0;0
com.mxgraph.util.png.mxPngSuggestedPaletteEntry;9.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.png.mxPngTextDecoder;5.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.AWTPathProducer;32.0;57.5;0.9097222182899714;2.604166666666667;0;0
com.mxgraph.util.svg.AWTPolygonProducer;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.AWTPolylineProducer;11.0;57.5;1.1111111094554265;2.604166666666667;0;0
com.mxgraph.util.svg.AbstractParser;16.0;57.5;0.9722222222222222;2.604166666666667;0;0
com.mxgraph.util.svg.CSSConstants;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.DefaultErrorHandler;2.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.ErrorHandler;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.ExtendedGeneralPath;44.0;57.5;0.9551724126112873;2.604166666666667;0;0
com.mxgraph.util.svg.ExtendedPathIterator;14.0;57.5;1.2;2.604166666666667;0;0
com.mxgraph.util.svg.NormalizingReader;4.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.NumberParser;4.0;57.5;2.0;2.604166666666667;0;0
com.mxgraph.util.svg.ParseException;10.0;57.5;1.2222222189108531;2.604166666666667;0;0
com.mxgraph.util.svg.Parser;2.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.PathHandler;21.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.PathParser;28.0;57.5;0.28;2.604166666666667;0;0
com.mxgraph.util.svg.PointsHandler;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.PointsParser;6.0;57.5;1.25;2.604166666666667;0;0
com.mxgraph.util.svg.ShapeProducer;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.util.svg.StringNormalizingReader;10.0;57.5;1.266666665673256;2.604166666666667;0;0
com.mxgraph.view.mxCellState;55.0;57.5;1.0121527777777777;2.604166666666667;0;1
com.mxgraph.view.mxConnectionConstraint;9.0;57.5;1.3333333333333333;2.604166666666667;0;1
com.mxgraph.view.mxEdgeStyle;30.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.view.mxGraph;424.0;57.5;0.9942760330796575;2.604166666666667;0;3
com.mxgraph.view.mxGraphSelectionModel;22.0;57.5;0.862745092195623;2.604166666666667;0;0
com.mxgraph.view.mxGraphView;69.0;57.5;0.9476190445323786;2.604166666666667;0;3
com.mxgraph.view.mxLayoutManager;20.0;57.5;1.061538461309213;2.604166666666667;1;0
com.mxgraph.view.mxMultiplicity;19.0;57.5;1.1212121198574703;2.604166666666667;0;0
com.mxgraph.view.mxPerimeter;6.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.view.mxStyleRegistry;5.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.view.mxStylesheet;13.0;57.5;0.8888888888888888;2.604166666666667;0;0
com.mxgraph.view.mxSwimlaneManager;25.0;57.5;1.0267857126891613;2.604166666666667;1;1
com.mxgraph.view.mxTemporaryCellStates;8.0;57.5;0.0;2.604166666666667;0;0
