ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
org.apache.lucene.index.TermDocs;8.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.index.TermEnum;6.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.index.TermFreqVector;6.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.index.TermInfo;9.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.index.TermInfosReader;24.0;35.0;1.0427350424803221;2.727272727272727;0;0
org.apache.lucene.index.TermInfosWriter;17.0;35.0;1.0909090836842854;2.727272727272727;0;0
org.apache.lucene.index.TermPositionVector;1.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.index.TermPositions;1.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.index.TermVectorsReader;13.0;35.0;0.8333333283662796;2.727272727272727;0;0
org.apache.lucene.index.TermVectorsWriter;28.0;35.0;0.994082837150647;2.727272727272727;0;0
org.apache.lucene.queryParser.CharStream;12.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.queryParser.FastCharStream;20.0;35.0;1.0555555547277133;2.727272727272727;0;0
org.apache.lucene.queryParser.MultiFieldQueryParser;8.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.queryParser.ParseException;10.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.queryParser.QueryParser;81.0;35.0;1.0189701896615144;2.727272727272727;0;0
org.apache.lucene.queryParser.QueryParserConstants;37.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.queryParser.QueryParserTokenManager;54.0;35.0;1.0131578946020454;2.727272727272727;1;0
org.apache.lucene.queryParser.Token;11.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.queryParser.TokenMgrError;11.0;35.0;1.5;2.727272727272727;0;0
org.apache.lucene.search.BooleanClause;6.0;35.0;1.3333333134651184;2.727272727272727;0;0
org.apache.lucene.search.BooleanQuery;14.0;35.0;0.75;2.727272727272727;0;0
org.apache.lucene.search.BooleanScorer;18.0;35.0;1.1269841268658638;2.727272727272727;0;0
org.apache.lucene.search.CachingWrapperFilter;5.0;35.0;1.0;2.727272727272727;0;0
