Max features;Max depth;Min samples leaf;Min samples split;MCC
sqrt;100;2;0.00297779432119;0.5802963938987834
sqrt;50;2;0.00139513722003;0.5684632577100494
sqrt;50;5;0.00193224477658;0.5647540395251309
log2;20;3;0.000124758566621;0.5643785850324246
log2;90;3;0.00251752255747;0.5640459184742905
log2;80;1;0.00027253881268;0.5620693908549863
sqrt;90;4;0.0021632848781;0.5610934722480818
log2;40;2;0.000651468200969;0.5605531953861925
log2;80;3;0.00127595951343;0.5586775767615672
sqrt;70;5;0.00124996668492;0.5574500395185141
sqrt;80;3;0.000137280811287;0.5544206656514823
log2;80;2;0.000141196777656;0.5542634067959222
sqrt;90;3;0.00415131958272;0.5540131929056918
log2;40;4;0.000123425828904;0.5513900471245441
None;60;2;0.00388971585884;0.5508565741576077
log2;None;2;0.000678844910504;0.54584486425809
sqrt;30;1;0.00309452204508;0.5416116521573847
sqrt;10;3;0.00177164054418;0.5413561363667975
sqrt;None;2;0.0012572479486;0.5375858713161603
log2;60;3;0.000257396151141;0.5375792783294195
sqrt;60;2;0.00437083676741;0.536374105540785
sqrt;60;5;0.0042863058756;0.5363612473951894
log2;10;3;0.0206208939238;0.5342896306560102
None;100;2;0.00120174126693;0.5333091847909391
sqrt;50;5;0.000100647264435;0.5327149324991348
None;70;4;0.00395043233129;0.5318985110283536
log2;50;5;0.00429240744516;0.5316143304002117
log2;40;3;0.00425571914629;0.5311371840035014
sqrt;70;3;0.00377953998916;0.5296203376611938
log2;10;5;0.00274258947156;0.5285139453532859
log2;10;2;0.0016068813224;0.5264770748642031
log2;10;5;0.00452233077388;0.5264593456938338
sqrt;80;3;0.00292481725273;0.5260307453055106
log2;60;3;0.000209769868556;0.5252622332150808
sqrt;None;5;0.000305271020186;0.5242126154721634
None;50;1;0.00299190157295;0.524116628567356
None;10;1;0.00084327286508;0.5240408021285009
sqrt;30;1;0.062955173765;0.5236940542245521
sqrt;20;2;0.000599512195293;0.5227018753863171
log2;90;3;0.0690645055747;0.5227018753863171
log2;10;2;0.00344861444865;0.5224194999311703
sqrt;80;2;0.000126853412641;0.5216373547803878
sqrt;None;2;0.0187604109891;0.5216373547803878
None;90;1;0.000239426009057;0.5215080743627456
None;50;1;0.0002025541364;0.5193486622200569
sqrt;20;5;0.00314394997936;0.5193486622200569
sqrt;60;2;0.000262390179616;0.5190841882714857
None;100;1;0.00111093423781;0.5186290607316573
log2;40;2;0.00467773992863;0.5184692647896385
None;80;5;0.00427250253884;0.5169260245761073
log2;60;4;0.00335800035149;0.5169260245761073
log2;80;5;0.000113391529005;0.5151074114987334
log2;70;1;0.00299150219746;0.5151074114987334
log2;10;2;0.00220467786788;0.5148114925339158
None;70;4;0.00110698694737;0.5148114925339158
None;90;3;0.0032272341479;0.5146479493085884
sqrt;40;5;0.000144466594874;0.5146167418918542
sqrt;40;1;0.000110789479162;0.5133958110642974
sqrt;90;3;0.00119602929459;0.5131348090998987
sqrt;90;4;0.00390154266384;0.5131348090998987
log2;80;1;0.00593307490726;0.5131348090998987
None;90;3;0.00346541885288;0.5127936249782878
None;70;5;0.00355092367437;0.5127936249782878
None;100;1;0.00167744824063;0.5127936249782878
None;50;4;0.00292320799852;0.5126907111494285
sqrt;10;1;0.0113633161394;0.5123374831815424
sqrt;40;2;0.0546200026746;0.5117213261530167
sqrt;60;4;0.000111764061754;0.5117213261530167
sqrt;None;5;0.0596078639832;0.5117084814480101
sqrt;30;1;0.0329539098136;0.5109661900272967
log2;None;1;0.00660964411246;0.5108012989328988
log2;30;4;0.000336293038881;0.5108012989328988
None;90;1;0.00182260426664;0.5107987757694807
log2;30;1;0.0117662020249;0.510087600657215
log2;10;2;0.00143417906756;0.5095487449968868
log2;60;2;0.0164103976807;0.5093174833506856
