Method;TargetClass;NbAccessedEntities;Distance_TC
android.telephony.SmsMessage.getEmailFrom();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.SmsMessage.getProtocolIdentifier();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getProtocolIdentifier();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.isReplace();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.isReplace();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.isCphsMwiMessage();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.isCphsMwiMessage();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.isMWIClearMessage();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.isMWIClearMessage();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.isMWISetMessage();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.isMWISetMessage();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.isMwiDontStore();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.isMwiDontStore();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.getUserData();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getUserData();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.SmsMessage.getPdu();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getPdu();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.SmsMessage.getStatusOnSim();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getStatusOnSim();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.SmsMessage.getStatusOnIcc();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getStatusOnIcc();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.SmsMessage.getIndexOnSim();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getIndexOnSim();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.SmsMessage.getIndexOnIcc();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getIndexOnIcc();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.SmsMessage.getStatus();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.getStatus();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.isStatusReportMessage();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.isStatusReportMessage();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsMessage.isReplyPathPresent();android.telephony.SmsMessage;0;1.0
android.telephony.SmsMessage.isReplyPathPresent();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.SmsCbEtwsInfo.getPrimaryNotificationTimestamp();com.android.internal.telephony.uicc.IccUtils;0;1.0
android.telephony.SmsCbEtwsInfo.getPrimaryNotificationTimestamp();android.telephony.SmsCbEtwsInfo;1;0.9090909090909091
android.telephony.SmsCbMessage.writeToParcel(android.telephony.Parcel, int);android.telephony.SmsCbCmasInfo;1;0.95
android.telephony.SmsCbMessage.writeToParcel(android.telephony.Parcel, int);android.telephony.SmsCbMessage;7;0.6111111111111112
android.telephony.SmsCbMessage.writeToParcel(android.telephony.Parcel, int);android.telephony.SmsCbLocation;1;0.9523809523809523
android.telephony.SmsCbMessage.writeToParcel(android.telephony.Parcel, int);android.telephony.SmsCbEtwsInfo;1;0.95
android.telephony.SmsCbMessage.toString();android.telephony.SmsCbCmasInfo;1;0.9444444444444444
android.telephony.SmsCbMessage.toString();android.telephony.SmsCbMessage;6;0.6470588235294117
android.telephony.SmsCbMessage.toString();android.telephony.SmsCbEtwsInfo;1;0.9444444444444444
android.telephony.gsm.SmsManager.sendTextMessage(android.telephony.gsm.PendingIntent, android.telephony.gsm.PendingIntent, java.lang.String, java.lang.String, java.lang.String);android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.sendTextMessage(android.telephony.gsm.PendingIntent, android.telephony.gsm.PendingIntent, java.lang.String, java.lang.String, java.lang.String);android.telephony.SmsManager;1;1.0
android.telephony.gsm.SmsManager.divideMessage(java.lang.String);android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.divideMessage(java.lang.String);android.telephony.SmsManager;1;0.9090909090909091
android.telephony.gsm.SmsManager.sendMultipartTextMessage(java.lang.String, java.lang.String, java.util.ArrayList<android.telephony.gsm.PendingIntent>, java.util.ArrayList<android.telephony.gsm.PendingIntent>, java.util.ArrayList<java.lang.String>);android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.sendMultipartTextMessage(java.lang.String, java.lang.String, java.util.ArrayList<android.telephony.gsm.PendingIntent>, java.util.ArrayList<android.telephony.gsm.PendingIntent>, java.util.ArrayList<java.lang.String>);android.telephony.SmsManager;1;1.0
android.telephony.gsm.SmsManager.sendDataMessage(android.telephony.gsm.PendingIntent, android.telephony.gsm.PendingIntent, byte[], java.lang.String, java.lang.String, short);android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.sendDataMessage(android.telephony.gsm.PendingIntent, android.telephony.gsm.PendingIntent, byte[], java.lang.String, java.lang.String, short);android.telephony.SmsManager;1;1.0
android.telephony.gsm.SmsManager.copyMessageToSim(byte[], byte[], int);android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.copyMessageToSim(byte[], byte[], int);android.telephony.SmsManager;1;0.9090909090909091
android.telephony.gsm.SmsManager.deleteMessageFromSim(int);android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.deleteMessageFromSim(int);android.telephony.SmsManager;1;0.9090909090909091
android.telephony.gsm.SmsManager.updateMessageOnSim(byte[], int, int);android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.updateMessageOnSim(byte[], int, int);android.telephony.SmsManager;1;1.0
android.telephony.gsm.SmsManager.getAllMessagesFromSim();android.telephony.gsm.SmsManager;0;1.0
android.telephony.gsm.SmsManager.getAllMessagesFromSim();android.telephony.SmsManager;0;1.0
android.telephony.gsm.SmsMessage.getServiceCenterAddress();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getServiceCenterAddress();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getOriginatingAddress();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getOriginatingAddress();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getDisplayOriginatingAddress();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getDisplayOriginatingAddress();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getMessageBody();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getMessageBody();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getMessageClass();android.telephony.gsm.SmsMessage;1;0.967741935483871
android.telephony.gsm.SmsMessage.getMessageClass();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.gsm.SmsMessage.getDisplayMessageBody();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getDisplayMessageBody();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getPseudoSubject();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getPseudoSubject();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getTimestampMillis();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getTimestampMillis();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.isEmail();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.isEmail();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getEmailBody();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getEmailBody();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getEmailFrom();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getEmailFrom();com.android.internal.telephony.SmsMessageBase;1;0.9583333333333334
android.telephony.gsm.SmsMessage.getProtocolIdentifier();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.getProtocolIdentifier();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.gsm.SmsMessage.isReplace();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.isReplace();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.gsm.SmsMessage.isCphsMwiMessage();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.isCphsMwiMessage();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.gsm.SmsMessage.isMWIClearMessage();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.isMWIClearMessage();com.android.internal.telephony.SmsMessageBase;1;1.0
android.telephony.gsm.SmsMessage.isMWISetMessage();android.telephony.gsm.SmsMessage;0;1.0
android.telephony.gsm.SmsMessage.isMWISetMessage();com.android.internal.telephony.SmsMessageBase;1;1.0
