EMBED_CLASS,LINK_EMBED,METHOD,ENVIED_CLASS,LINK_ENVIED
"bsh.ClassGeneratorImpl","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/ClassGeneratorImpl.java","getDeclaredMethods(BSHBlock, CallStack, Interpreter, String)","bsh.BSHMethodDeclaration","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BSHMethodDeclaration.java"
"org.gjt.sp.jedit.options.PluginManagerOptionPane","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/PluginManagerOptionPane.java","getElementAt(int)","org.gjt.sp.jedit.pluginmgr.MirrorList","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/MirrorList.java"
"org.gjt.sp.jedit.TextUtilities","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/TextUtilities.java","spacesToTabs(String, int)","org.gjt.sp.jedit.MiscUtilities","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/MiscUtilities.java"
"org.gjt.sp.jedit.TextUtilities","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/TextUtilities.java","getTokenAtOffset(Token, int)","org.gjt.sp.jedit.syntax.Token","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Token.java"
"org.gjt.sp.util.Log","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Log.java","init(boolean, int)","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
"org.gjt.sp.jedit.Macros","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Macros.java","dispose()","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
"org.gjt.sp.jedit.options.PluginOptions","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/PluginOptions.java","createOptionTreeModel()","org.gjt.sp.jedit.PluginJAR","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/PluginJAR.java"
"org.gjt.sp.jedit.options.PluginOptions","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/PluginOptions.java","createOptionTreeModel()","org.gjt.sp.jedit.jEdit","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/jEdit.java"
"bsh.BSHAllocationExpression","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BSHAllocationExpression.java","constructWithInterfaceBody(Class, Object, BSHBlock, CallStack, Interpreter)","bsh.CallStack","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/CallStack.java"
"bsh.BSHAllocationExpression","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BSHAllocationExpression.java","constructObject(Class, Object, CallStack)","bsh.CallStack","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/CallStack.java"
"bsh.BSHAllocationExpression","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BSHAllocationExpression.java","arrayNewInstance(Class, BSHArrayDimensions, CallStack)","bsh.BSHArrayDimensions","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BSHArrayDimensions.java"
"org.gjt.sp.jedit.syntax.TokenMarker","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/TokenMarker.java","substitute(REMatch, char)","gnu.regexp.REMatch","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/REMatch.java"
"org.gjt.sp.jedit.print.BufferPrinter1_3","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BufferPrinter1_3.java","print(View, Buffer, boolean)","org.gjt.sp.jedit.print.BufferPrintable","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BufferPrintable.java"
"org.gjt.sp.jedit.print.BufferPrinter1_3","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BufferPrinter1_3.java","print(View, Buffer, boolean)","org.gjt.sp.jedit.print.BufferPrinter1_4","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BufferPrinter1_4.java"
"org.gjt.sp.jedit.pluginmgr.PluginList","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/PluginList.java","addPlugin(Plugin)","org.gjt.sp.jedit.textarea.TextAreaPainter","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/TextAreaPainter.java"
