EMBED_CLASS,LINK_EMBED,METHOD,ENVIED_CLASS,LINK_ENVIED
"org.argouml.cognitive.ToDoItem","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ToDoItem.java","getOffenders()","org.argouml.cognitive.ListSet","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ListSet.java"
"org.argouml.uml.ui.UMLModelElementListModel2","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLModelElementListModel2.java","buildPopup(JPopupMenu, int)","org.argouml.uml.ui.foundation.core.UMLClassifierParameterListModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLClassifierParameterListModel.java"
"org.argouml.uml.ui.ActionSaveAllGraphics","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionSaveAllGraphics.java","getFileChooser(Project)","org.argouml.kernel.Project","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/Project.java"
"org.argouml.uml.ui.ActionSaveAllGraphics","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionSaveAllGraphics.java","saveGraphicsToFile(File, CmdSaveGraphics, boolean)","org.argouml.uml.ui.ActionSaveGraphics","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionSaveGraphics.java"
"org.argouml.uml.ui.behavior.use_cases.ActionNewActor","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionNewActor.java","actionPerformed(ActionEvent)","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.persistence.XmiFilePersister","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/XmiFilePersister.java","doSave(Project, File)","org.argouml.persistence.UmlFilePersister","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UmlFilePersister.java"
"org.argouml.persistence.XmiFilePersister","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/XmiFilePersister.java","doSave(Project, File)","org.argouml.persistence.ZargoFilePersister","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ZargoFilePersister.java"
"org.argouml.persistence.XmiFilePersister","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/XmiFilePersister.java","doLoad(File)","org.argouml.persistence.XMIParser","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/XMIParser.java"
"org.argouml.cognitive.ui.KnowledgeTypeNode","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/KnowledgeTypeNode.java","getTypes()","org.argouml.cognitive.critics.Critic","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/Critic.java"
"org.argouml.persistence.ZipFilePersister","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ZipFilePersister.java","doLoad(File)","org.argouml.persistence.XmiFilePersister","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/XmiFilePersister.java"
"org.argouml.ui.ActionImportXMI","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionImportXMI.java","actionPerformed(ActionEvent)","org.argouml.persistence.PersistenceManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/PersistenceManager.java"
"org.argouml.ui.ActionImportXMI","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionImportXMI.java","actionPerformed(ActionEvent)","org.argouml.ui.ActionExportXMI","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionExportXMI.java"
