EMBED_CLASS,LINK_EMBED,METHOD,ENVIED_CLASS,LINK_ENVIED
"org.apache.tools.ant.taskdefs.optional.clearcase.CCRmtype","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/CCRmtype.java","execute()","org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/CCMklbtype.java"
"org.apache.tools.ant.taskdefs.Basename","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/Basename.java","execute()","org.apache.tools.ant.taskdefs.Dirname","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/Dirname.java"
"org.apache.tools.ant.util.ScriptRunner","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/ScriptRunner.java","bindToComponent(ProjectComponent)","org.apache.tools.ant.Project","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/Project.java"
"org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/NetCommand.java","scanOneFileset(DirectoryScanner, Hashtable, long)","org.apache.tools.ant.DirectoryScanner","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/DirectoryScanner.java"
"org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/NetCommand.java","scanOneFileset(DirectoryScanner, Hashtable, long)","org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/DotnetCompile.java"
"org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/NetCommand.java","scanOneFileset(DirectoryScanner, Hashtable, long)","org.apache.tools.ant.taskdefs.optional.dotnet.Ilasm","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/Ilasm.java"
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/JUnitTask.java","getOutput(FormatterElement, JUnitTest)","org.apache.tools.ant.taskdefs.optional.junit.JUnitTest","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/JUnitTest.java"
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTask","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/JUnitTask.java","getOutput(FormatterElement, JUnitTest)","org.apache.tools.ant.taskdefs.optional.junit.FormatterElement","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/FormatterElement.java"
"org.apache.tools.ant.taskdefs.ResourceCount","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/ResourceCount.java","setRefid(Reference)","org.apache.tools.ant.types.Reference","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/Reference.java"
"org.apache.tools.ant.IntrospectionHelper","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/IntrospectionHelper.java","throwNotSupported(Project, Object, String)","org.apache.tools.ant.Project","https://github.com/antoineBarbez/feature_envy/blob/master/apache-ant/Project.java"
