EMBED_CLASS,LINK_EMBED,METHOD,ENVIED_CLASS,LINK_ENVIED
"org.argouml.uml.ui.behavior.use_cases.ActionNewUseCase","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionNewUseCase.java","actionPerformed(ActionEvent)","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.uml.reveng.java.JavaImport","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/JavaImport.java","parseFile(Project, Object, DiagramInterface, Import)","org.argouml.uml.reveng.Import","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/Import.java"
"org.argouml.uml.reveng.java.JavaImport","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/JavaImport.java","parseFile(Project, Object, DiagramInterface, Import)","org.argouml.uml.reveng.DiagramInterface","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/DiagramInterface.java"
"org.argouml.uml.reveng.DiagramInterface","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/DiagramInterface.java","addClass(Object, boolean)","org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ClassDiagramGraphModel.java"
"org.argouml.uml.reveng.DiagramInterface","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/DiagramInterface.java","addInterface(Object, boolean)","org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ClassDiagramGraphModel.java"
"org.argouml.uml.reveng.DiagramInterface","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/DiagramInterface.java","findDiagramMemberByUniqueName(Project, String)","org.argouml.kernel.Project","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/Project.java"
"org.argouml.uml.ui.model_management.PropPanelPackage","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/PropPanelPackage.java","placeElements()","org.argouml.uml.ui.foundation.core.PropPanelAssociationEnd","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/PropPanelAssociationEnd.java"
"org.argouml.uml.ui.model_management.PropPanelPackage","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/PropPanelPackage.java","placeElements()","org.argouml.uml.ui.behavior.state_machines.PropPanelEvent","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/PropPanelEvent.java"
"org.argouml.uml.ui.foundation.core.ActionAddParameter","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionAddParameter.java","actionPerformed(ActionEvent)","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.uml.ui.foundation.core.ActionNewParameter","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionNewParameter.java","actionPerformed(ActionEvent)","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.uml.ui.behavior.activity_graphs.UMLObjectFlowStateClassifierComboBoxModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLObjectFlowStateClassifierComboBoxModel.java","buildModelList()","org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceComboBoxModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLModelElementNamespaceComboBoxModel.java"
"org.argouml.uml.ui.behavior.activity_graphs.UMLObjectFlowStateClassifierComboBoxModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLObjectFlowStateClassifierComboBoxModel.java","buildModelList()","org.argouml.uml.generator.ParserDisplay","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ParserDisplay.java"
"org.argouml.model.uml.CollaborationsHelperImpl","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/CollaborationsHelperImpl.java","removeInteraction(Object, Object)","org.argouml.model.uml.NSUMLModelFacade","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/NSUMLModelFacade.java"
"org.argouml.application.security.ArgoAwtExceptionHandler","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ArgoAwtExceptionHandler.java","handle(Throwable)","org.argouml.kernel.ProjectManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ProjectManager.java"
"org.argouml.application.security.ArgoAwtExceptionHandler","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ArgoAwtExceptionHandler.java","handle(Throwable)","org.argouml.application.Main","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/Main.java"
"org.argouml.ui.explorer.rules.GoBehavioralFeatureToStateDiagram","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/GoBehavioralFeatureToStateDiagram.java","getChildren(Object)","org.argouml.ui.explorer.rules.GoModelToCollaboration","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/GoModelToCollaboration.java"
"org.argouml.uml.diagram.sequence.ui.FigClassifierRole","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/FigClassifierRole.java","setFromActionNode(int, int)","org.argouml.uml.diagram.sequence.MessageNode","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/MessageNode.java"
"org.argouml.uml.ui.foundation.core.PropPanelModelElement","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/PropPanelModelElement.java","getStereotypeSelector()","org.argouml.uml.ui.PropPanel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/PropPanel.java"
"org.argouml.uml.ui.ActionReopenProject","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionReopenProject.java","actionPerformed(ActionEvent)","org.argouml.uml.ui.ActionOpenProject","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionOpenProject.java"
"org.argouml.uml.ui.ActionReopenProject","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionReopenProject.java","actionPerformed(ActionEvent)","org.argouml.uml.ui.ActionRevertToSaved","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionRevertToSaved.java"
"org.argouml.uml.cognitive.critics.CrUselessInterface","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/CrUselessInterface.java","predicate2(Object, Designer)","org.argouml.uml.reveng.java.Modeller","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/Modeller.java"
"org.argouml.uml.ui.foundation.core.UMLClassOperationListModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLClassOperationListModel.java","swap(int, int)","org.argouml.uml.ui.foundation.core.UMLClassAttributeListModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLClassAttributeListModel.java"
"org.argouml.uml.diagram.ui.ActionAddAttribute","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionAddAttribute.java","actionPerformed(ActionEvent)","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.uml.diagram.ui.ActionAddAttribute","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionAddAttribute.java","shouldBeEnabled()","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.uml.ui.behavior.common_behavior.UMLLinkConnectionListModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLLinkConnectionListModel.java","swap(int, int)","org.argouml.uml.ui.behavior.collaborations.UMLAssociationRoleAssociationEndRoleListModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLAssociationRoleAssociationEndRoleListModel.java"
"org.argouml.uml.ui.behavior.common_behavior.UMLLinkConnectionListModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLLinkConnectionListModel.java","swap(int, int)","org.argouml.uml.ui.foundation.core.UMLAssociationConnectionListModel","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/UMLAssociationConnectionListModel.java"
"org.argouml.uml.notation.java.InitNotationJava","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/InitNotationJava.java","init()","org.argouml.notation.NotationProviderFactory2","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/NotationProviderFactory2.java"
"org.argouml.ui.CmdSetMode","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/CmdSetMode.java","putToolTip(String)","org.argouml.ui.CmdCreateNode","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/CmdCreateNode.java"
"org.argouml.uml.ui.foundation.core.ActionAddDataType","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ActionAddDataType.java","actionPerformed(ActionEvent)","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.uml.cognitive.critics.CrComponentInstanceWithoutClassifier","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/CrComponentInstanceWithoutClassifier.java","computeOffenders(UMLDeploymentDiagram)","org.argouml.uml.cognitive.critics.CrInstanceWithoutClassifier","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/CrInstanceWithoutClassifier.java"
"org.argouml.ui.targetmanager.DebugTMDialog","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java","setTarget(Object)","org.argouml.ui.targetmanager.TargetManager","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/TargetManager.java"
"org.argouml.language.java.generator.ClassifierEndCodePiece","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ClassifierEndCodePiece.java","write(BufferedReader, BufferedWriter, Stack)","org.argouml.language.java.generator.ParseState","https://github.com/antoineBarbez/feature_envy/blob/master/argouml/ParseState.java"
"org.gjt.sp.jedit.gui.MarkerViewer","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/MarkerViewer.java","goToSelectedMarker()","org.gjt.sp.jedit.View","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/View.java"
"installer.SwingInstall","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/SwingInstall.java","install()","installer.OperatingSystem","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/OperatingSystem.java"
"org.gjt.sp.jedit.View","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/View.java","handleEditPaneUpdate(EditPaneUpdate)","org.gjt.sp.jedit.gui.StatusBar","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/StatusBar.java"
"org.gjt.sp.jedit.View","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/View.java","handleMessage(EBMessage)","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
"org.gjt.sp.jedit.View","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/View.java","handleMessage(EBMessage)","org.gjt.sp.jedit.gui.ActionBar","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/ActionBar.java"
"org.gjt.sp.jedit.View","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/View.java","handleBufferUpdate(BufferUpdate)","org.gjt.sp.jedit.msg.BufferUpdate","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BufferUpdate.java"
"org.gjt.sp.jedit.View","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/View.java","processKeyEvent(KeyEvent, boolean)","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
"org.gjt.sp.jedit.View","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/View.java","processKeyEvent(KeyEvent)","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
