Snapshot;Date;Class;Code;ChangeType
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestBasics;org.apache.lucene.search.spans.TestBasics.testSpanNearOr();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestBasics;org.apache.lucene.search.spans.TestBasics.testSpanNearUnordered();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestBasics;org.apache.lucene.search.spans.TestBasics.testSpanComplex1();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestBasics;org.apache.lucene.search.spans.TestBasics.testSpanNot();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestBasics;org.apache.lucene.search.spans.TestBasics.testSpanExactNested();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestBasics;org.apache.lucene.search.spans.TestBasics.testPhrase();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestBasics;org.apache.lucene.search.spans.TestBasics.testBoolean();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans;org.apache.lucene.search.spans.TestSpans.makeTerm(String);DELETED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans;org.apache.lucene.search.spans.TestSpans.orderedSlopTest3(int, int);ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans;org.apache.lucene.search.spans.TestSpans.makeSpanTermQuery(String);BODY_MODIFIED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered05();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered03();BODY_MODIFIED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered04();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans;org.apache.lucene.search.spans.TestSpans.checkHits(Query, int);BODY_MODIFIED
