Snapshot;Date;Class;Code;ChangeType
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.UiccCardApplication;com.android.internal.telephony.uicc.UiccCardApplication.dump(FileDescriptor, PrintWriter, String);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.UiccController;com.android.internal.telephony.uicc.UiccController.dump(FileDescriptor, PrintWriter, String);ADDED
10e574acd0992d22abce257b420d333f5a49e71d;14 Aug 2012;com.android.internal.telephony.gsm.GsmMmiCode;com.android.internal.telephony.gsm.GsmMmiCode.isShortCodeUSSD(GSMPhone, String);BODY_MODIFIED
9aaa228cbb37657d12a87b5058676e449866f2ac;5 Dec 2012;com.android.internal.telephony.DataConnectionTracker;com.android.internal.telephony.DataConnectionTracker.startDataStallAlarm(boolean);BODY_MODIFIED
86968438e444728053137c764cc37cf9c0a15d16;8 Aug 2012;com.android.internal.telephony.cat.CatCmdMessage;com.android.internal.telephony.cat.CatCmdMessage.CatCmdMessage(CommandParams);BODY_MODIFIED
86968438e444728053137c764cc37cf9c0a15d16;8 Aug 2012;com.android.internal.telephony.cat.CommandParamsFactory;com.android.internal.telephony.cat.CommandParamsFactory.make(BerTlv);BODY_MODIFIED
43198cf78f564c631ef08dddb7a183d4ba5b137d;26 Nov 2012;com.android.internal.telephony.IccProvider;com.android.internal.telephony.IccProvider.delete(String, String, Uri);BODY_MODIFIED
2d7aad7791b92186dabc779b3ab43794aceebcda;29 Nov 2012;com.android.internal.telephony.cat.CatResponseMessage;com.android.internal.telephony.cat.CatResponseMessage.setAdditionalInfo(int);ADDED
2d7aad7791b92186dabc779b3ab43794aceebcda;29 Nov 2012;com.android.internal.telephony.cat.CatService;com.android.internal.telephony.cat.CatService.handleCmdResponse(CatResponseMessage);BODY_MODIFIED
a5d65ff9d36808aec38d60ebe30f2109fcfcb8bc;8 Dec 2012;com.android.internal.telephony.CallManager;com.android.internal.telephony.CallManager.setAudioMode();BODY_MODIFIED
a5d65ff9d36808aec38d60ebe30f2109fcfcb8bc;8 Dec 2012;com.android.internal.telephony.CallManager;com.android.internal.telephony.CallManager.acceptCall(Call);BODY_MODIFIED
d720945f2be5ea5fe0faf67e67d9ea0e184eba67;31 Jul 2012;com.android.internal.telephony.AdnRecord;com.android.internal.telephony.AdnRecord.getAlphaTag();DELETED
d720945f2be5ea5fe0faf67e67d9ea0e184eba67;31 Jul 2012;com.android.internal.telephony.AdnRecord;com.android.internal.telephony.AdnRecord.hasExtendedRecord();DELETED
d720945f2be5ea5fe0faf67e67d9ea0e184eba67;31 Jul 2012;com.android.internal.telephony.AdnRecord;com.android.internal.telephony.AdnRecord.parseRecord(byte);DELETED
d720945f2be5ea5fe0faf67e67d9ea0e184eba67;31 Jul 2012;com.android.internal.telephony.AdnRecord;com.android.internal.telephony.AdnRecord.writeToParcel(Parcel, int);DELETED
