Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.xerces.impl.xs.traversers.XSDHandler::removeParticle(org.apache.xerces.impl.xs.XSModelGroupImpl, org.apache.xerces.impl.xs.XSParticleDecl):boolean	org.apache.xerces.impl.xs.XSModelGroupImpl	1/2	
Move Method	org.apache.xerces.xinclude.XIncludeHandler::scopeOfBaseURI(int):int	org.apache.xerces.util.IntStack	1/2	
Move Method	org.apache.xerces.xinclude.XIncludeHandler::scopeOfLanguage(int):int	org.apache.xerces.util.IntStack	1/2	
Move Method	org.apache.xerces.xpointer.ElementSchemePointer::reportError(java.lang.String, java.lang.Object[]):void	org.apache.xerces.impl.XMLErrorReporter	1/2	
Move Method	org.apache.xml.serialize.BaseMarkupSerializer::printDoctypeURL(java.lang.String):void	org.apache.xml.serialize.Printer	1/2	
Move Method	org.apache.xml.serialize.BaseMarkupSerializer::printHex(int):void	org.apache.xml.serialize.Printer	1/2	
Move Method	org.apache.xerces.impl.XMLEntityScanner::setEncoding(java.lang.String):void	org.apache.xerces.impl.XMLEntityManager	2/4	
Move Method	org.apache.xerces.impl.dtd.DTDGrammar::appendContentSpec(org.apache.xerces.impl.dtd.XMLContentSpec, java.lang.StringBuffer, boolean, int):void	org.apache.xerces.impl.dtd.XMLContentSpec	2/3	
Move Method	org.apache.xerces.impl.dtd.DTDGrammar::contentSpecTree(int, org.apache.xerces.impl.dtd.XMLContentSpec, org.apache.xerces.impl.dtd.DTDGrammar.ChildrenList):void	org.apache.xerces.impl.dtd.XMLContentSpec	2/3	
Move Method	org.apache.xerces.impl.xs.opti.SchemaDOM::characters(org.apache.xerces.xni.XMLString):void	org.apache.xerces.xni.XMLString	2/3	
Move Method	org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser::traverseSyntheticAnnotation(org.w3c.dom.Element, java.lang.String, java.lang.Object[], boolean, org.apache.xerces.impl.xs.traversers.XSDocumentInfo):org.apache.xerces.impl.xs.XSAnnotationImpl	org.apache.xerces.impl.xs.traversers.XSDocumentInfo	2/3	
Move Method	org.apache.xerces.jaxp.validation.ValidatorHandlerImpl::fillXMLAttributes2(org.xml.sax.ext.Attributes2):void	org.apache.xerces.util.XMLAttributesImpl	2/3	
