NORM_NAME;NAME
android.telephony.SmsCbLocation.isInLocationArea(smscblocation);SmsCbLocation.isInLocationArea(SmsCbLocation)
android.telephony.SmsCbLocation.isInLocationArea(int, int, string);SmsCbLocation.isInLocationArea(String, int, int)
android.telephony.SmsCbLocation.writeToParcel(int, parcel);SmsCbLocation.writeToParcel(Parcel, int)
android.telephony.SmsCbLocation.createFromParcel(parcel);SmsCbLocation.createFromParcel(Parcel)
android.telephony.SmsCbLocation.newArray(int);SmsCbLocation.newArray(int)
android.telephony.SmsCbLocation.describeContents();SmsCbLocation.describeContents()
android.telephony.SmsMessage.toString();SmsMessage.toString()
android.telephony.SmsMessage.createFromPdu(byte);SmsMessage.createFromPdu(byte)
android.telephony.SmsMessage.createFromPdu(byte, string);SmsMessage.createFromPdu(byte, String)
android.telephony.SmsMessage.newFromCMT(string);SmsMessage.newFromCMT(String)
android.telephony.SmsMessage.newFromParcel(parcel);SmsMessage.newFromParcel(Parcel)
android.telephony.SmsMessage.createFromEfRecord(byte, int);SmsMessage.createFromEfRecord(int, byte)
android.telephony.SmsMessage.getTPLayerLengthForPDU(string);SmsMessage.getTPLayerLengthForPDU(String)
android.telephony.SmsMessage.calculateLength(boolean, charsequence);SmsMessage.calculateLength(CharSequence, boolean)
android.telephony.SmsMessage.fragmentText(string);SmsMessage.fragmentText(String)
android.telephony.SmsMessage.calculateLength(boolean, string);SmsMessage.calculateLength(String, boolean)
android.telephony.SmsMessage.getSubmitPdu(boolean, string, string, string);SmsMessage.getSubmitPdu(String, String, String, boolean)
android.telephony.SmsMessage.getSubmitPdu(boolean, byte, short, string, string);SmsMessage.getSubmitPdu(String, String, short, byte, boolean)
android.telephony.SmsMessage.getServiceCenterAddress();SmsMessage.getServiceCenterAddress()
android.telephony.SmsMessage.getOriginatingAddress();SmsMessage.getOriginatingAddress()
android.telephony.SmsMessage.getDisplayOriginatingAddress();SmsMessage.getDisplayOriginatingAddress()
android.telephony.SmsMessage.getMessageBody();SmsMessage.getMessageBody()
android.telephony.SmsMessage.getMessageClass();SmsMessage.getMessageClass()
android.telephony.SmsMessage.getDisplayMessageBody();SmsMessage.getDisplayMessageBody()
android.telephony.SmsMessage.getPseudoSubject();SmsMessage.getPseudoSubject()
android.telephony.SmsMessage.getTimestampMillis();SmsMessage.getTimestampMillis()
android.telephony.SmsMessage.isEmail();SmsMessage.isEmail()
android.telephony.SmsMessage.getEmailBody();SmsMessage.getEmailBody()
android.telephony.SmsMessage.getEmailFrom();SmsMessage.getEmailFrom()
android.telephony.SmsMessage.getProtocolIdentifier();SmsMessage.getProtocolIdentifier()
android.telephony.SmsMessage.isReplace();SmsMessage.isReplace()
android.telephony.SmsMessage.isCphsMwiMessage();SmsMessage.isCphsMwiMessage()
android.telephony.SmsMessage.isMWIClearMessage();SmsMessage.isMWIClearMessage()
android.telephony.SmsMessage.isMWISetMessage();SmsMessage.isMWISetMessage()
android.telephony.SmsMessage.isMwiDontStore();SmsMessage.isMwiDontStore()
android.telephony.SmsMessage.getUserData();SmsMessage.getUserData()
android.telephony.SmsMessage.getPdu();SmsMessage.getPdu()
android.telephony.SmsMessage.getStatusOnSim();SmsMessage.getStatusOnSim()
android.telephony.SmsMessage.getStatusOnIcc();SmsMessage.getStatusOnIcc()
android.telephony.SmsMessage.getIndexOnSim();SmsMessage.getIndexOnSim()
android.telephony.SmsMessage.getIndexOnIcc();SmsMessage.getIndexOnIcc()
android.telephony.SmsMessage.getStatus();SmsMessage.getStatus()
android.telephony.SmsMessage.isStatusReportMessage();SmsMessage.isStatusReportMessage()
android.telephony.SmsMessage.isReplyPathPresent();SmsMessage.isReplyPathPresent()
android.telephony.SmsCbEtwsInfo.writeToParcel(int, parcel);SmsCbEtwsInfo.writeToParcel(Parcel, int)
android.telephony.SmsCbEtwsInfo.getWarningType();SmsCbEtwsInfo.getWarningType()
android.telephony.SmsCbEtwsInfo.isEmergencyUserAlert();SmsCbEtwsInfo.isEmergencyUserAlert()
android.telephony.SmsCbEtwsInfo.isPopupAlert();SmsCbEtwsInfo.isPopupAlert()
android.telephony.SmsCbEtwsInfo.getPrimaryNotificationTimestamp();SmsCbEtwsInfo.getPrimaryNotificationTimestamp()
android.telephony.SmsCbEtwsInfo.getPrimaryNotificationSignature();SmsCbEtwsInfo.getPrimaryNotificationSignature()
android.telephony.SmsCbEtwsInfo.toString();SmsCbEtwsInfo.toString()
android.telephony.SmsCbEtwsInfo.describeContents();SmsCbEtwsInfo.describeContents()
android.telephony.SmsCbEtwsInfo.createFromParcel(parcel);SmsCbEtwsInfo.createFromParcel(Parcel)
android.telephony.SmsCbEtwsInfo.newArray(int);SmsCbEtwsInfo.newArray(int)
android.telephony.SmsCbMessage.writeToParcel(int, parcel);SmsCbMessage.writeToParcel(Parcel, int)
android.telephony.SmsCbMessage.createFromParcel(parcel);SmsCbMessage.createFromParcel(Parcel)
android.telephony.SmsCbMessage.newArray(int);SmsCbMessage.newArray(int)
android.telephony.SmsCbMessage.getGeographicalScope();SmsCbMessage.getGeographicalScope()
android.telephony.SmsCbMessage.getSerialNumber();SmsCbMessage.getSerialNumber()
android.telephony.SmsCbMessage.getLocation();SmsCbMessage.getLocation()
android.telephony.SmsCbMessage.getServiceCategory();SmsCbMessage.getServiceCategory()
android.telephony.SmsCbMessage.getLanguageCode();SmsCbMessage.getLanguageCode()
android.telephony.SmsCbMessage.getMessageBody();SmsCbMessage.getMessageBody()
android.telephony.SmsCbMessage.getMessageFormat();SmsCbMessage.getMessageFormat()
android.telephony.SmsCbMessage.getMessagePriority();SmsCbMessage.getMessagePriority()
android.telephony.SmsCbMessage.getEtwsWarningInfo();SmsCbMessage.getEtwsWarningInfo()
android.telephony.SmsCbMessage.getCmasWarningInfo();SmsCbMessage.getCmasWarningInfo()
android.telephony.SmsCbMessage.isEmergencyMessage();SmsCbMessage.isEmergencyMessage()
android.telephony.SmsCbMessage.isEtwsMessage();SmsCbMessage.isEtwsMessage()
android.telephony.SmsCbMessage.isCmasMessage();SmsCbMessage.isCmasMessage()
android.telephony.SmsCbMessage.toString();SmsCbMessage.toString()
android.telephony.SmsCbMessage.describeContents();SmsCbMessage.describeContents()
android.telephony.SmsCbCmasInfo.writeToParcel(int, parcel);SmsCbCmasInfo.writeToParcel(Parcel, int)
android.telephony.SmsCbCmasInfo.getMessageClass();SmsCbCmasInfo.getMessageClass()
android.telephony.SmsCbCmasInfo.getCategory();SmsCbCmasInfo.getCategory()
android.telephony.SmsCbCmasInfo.getResponseType();SmsCbCmasInfo.getResponseType()
android.telephony.SmsCbCmasInfo.getSeverity();SmsCbCmasInfo.getSeverity()
android.telephony.SmsCbCmasInfo.getUrgency();SmsCbCmasInfo.getUrgency()
android.telephony.SmsCbCmasInfo.getCertainty();SmsCbCmasInfo.getCertainty()
android.telephony.SmsCbCmasInfo.toString();SmsCbCmasInfo.toString()
android.telephony.SmsCbCmasInfo.describeContents();SmsCbCmasInfo.describeContents()
android.telephony.SmsCbCmasInfo.createFromParcel(parcel);SmsCbCmasInfo.createFromParcel(Parcel)
