Snapshot;Date;Directory;Code;ChangeType
8c58d3cb4322481dada4626759c46a79f881dcf0;18 Oct 2012;jena-tdb/src/test/java/tdb;tdb.TS_TDBLoader3;D
8c58d3cb4322481dada4626759c46a79f881dcf0;18 Oct 2012;jena-tdb/src/test/java/tdb;tdb.TestTDBLoader3;D
f35fca11d30968c1b0b6b26f2d5964c9bb6048b8;17 Oct 2012;jena-fuseki/src/main/java/org/apache/jena/fuseki;org.apache.jena.fuseki.FusekiCmd;M
f35fca11d30968c1b0b6b26f2d5964c9bb6048b8;17 Oct 2012;jena-fuseki/src/main/java/org/apache/jena/fuseki/server;org.apache.jena.fuseki.server.SPARQLServer;M
45499d89db8e129dc5edc4ef18467b1b4fa984fa;16 Oct 2012;jena-arq/src/main/java/com/hp/hpl/jena/sparql/expr/nodevalue;com.hp.hpl.jena.sparql.expr.nodevalue.NodeValueDT;M
45499d89db8e129dc5edc4ef18467b1b4fa984fa;16 Oct 2012;jena-arq/src/main/java/com/hp/hpl/jena/sparql/expr/nodevalue;com.hp.hpl.jena.sparql.expr.nodevalue.NodeValueOps;M
45499d89db8e129dc5edc4ef18467b1b4fa984fa;16 Oct 2012;jena-arq/src/main/java/org/openjena/riot/pipeline/normalize;org.openjena.riot.pipeline.normalize.NormalizeValue;M
02011c30de2f0e4032f6ae18c6fef4ec3777d59c;16 Oct 2012;jena-arq/src/test/java/com/hp/hpl/jena/sparql;com.hp.hpl.jena.sparql.ARQTestSuite;M
02011c30de2f0e4032f6ae18c6fef4ec3777d59c;16 Oct 2012;jena-arq/src/test/java/org/openjena/riot;org.openjena.riot.TS_Riot;M
45c61ebb2bd113486c3821f77b5e784ddd17615d;16 Oct 2012;jena-fuseki/src/main/java/org/apache/jena/fuseki/servlets;org.apache.jena.fuseki.servlets.SPARQL_REST;M
fe03ee9e19e8ec58f0d44281e62c30614f054750;16 Oct 2012;jena-arq/src/main/java/org/openjena/riot;org.openjena.riot.WebContent;M
