Snapshot;Date;Directory;Code;ChangeType
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;src/main/java/org/junit/rules;org.junit.rules.MethodRule;M
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;src/main/java/org/junit/rules;org.junit.rules.TestRule;A
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;src/main/java/org/junit/runners;org.junit.runners.BlockJUnit4ClassRunner;M
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;src/main/java/org/junit/runners;org.junit.runners.ParentRunner;M
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;src/main/java/org/junit/runners/model;org.junit.runners.model.TestClass;M
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;src/test/java/org/junit/tests/experimental/rules;org.junit.tests.experimental.rules.ClassRulesTest;M
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;src/test/java/org/junit/tests/experimental/rules;org.junit.tests.experimental.rules.RulesTest;M
56b1d5d4342c13151ae2d4b3f9aca146732cfb42;25 Oct 2010;src/test/java/org/junit/tests;org.junit.tests.CategoriesAndParameterizedTest;D
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/main/java/org/junit;org.junit.ClassRule;M
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/main/java/org/junit/experimental/categories;org.junit.experimental.categories.Categories;M
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/main/java/org/junit/rules;org.junit.rules.BisectionRule;A
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/main/java/org/junit/rules;org.junit.rules.ExternalResource;M
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/main/java/org/junit/runners;org.junit.runners.ParentRunner;M
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/test/java/org/junit/tests;org.junit.tests.AllTests;M
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/test/java/org/junit/tests/experimental/categories;org.junit.tests.experimental.categories.CategoriesAndParameterizedTest;A
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;src/test/java/org/junit/tests/experimental/rules;org.junit.tests.experimental.rules.ClassRulesTest;M
95a8c63cb0a7867d58ee4a0777fec65bab39a1ec;12 Oct 2010;src/main/java/org/junit/experimental/categories;org.junit.experimental.categories.Categories;M
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;src/main/java/org/junit/experimental/categories;org.junit.experimental.categories.Categories;M
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;src/test/java/org/junit/tests;org.junit.tests.CategoriesAndParameterizedTest;M
b3831d600d2d893ec6250ee930188cc373d81ee5;30 Aug 2010;src/main/java/org/junit/experimental/categories;org.junit.experimental.categories.Categories;M
b3831d600d2d893ec6250ee930188cc373d81ee5;30 Aug 2010;src/test/java/org/junit/tests;org.junit.tests.AllTests;M
b3831d600d2d893ec6250ee930188cc373d81ee5;30 Aug 2010;src/test/java/org/junit/tests;org.junit.tests.CategoriesAndParameterizedTest;A
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;src/main/java/org/junit;org.junit.ClassRule;A
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;src/main/java/org/junit/rules;org.junit.rules.ClassRule;D
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;src/main/java/org/junit/rules;org.junit.rules.ExternalResource;M
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;src/main/java/org/junit/runners;org.junit.runners.BlockJUnit4ClassRunner;M
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;src/main/java/org/junit/runners;org.junit.runners.ParentRunner;M
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;src/test/java/org/junit/tests/experimental/max;org.junit.tests.experimental.max.MaxStarterTest;M
