Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.junit.internal.runners.JUnit4ClassRunner::testAborted(org.junit.runner.notification.RunNotifier, org.junit.runner.Description, java.lang.Throwable):void	org.junit.runner.notification.RunNotifier	0/3	
Move Method	org.junit.runners.Parameterized::getParametersMethod(org.junit.runners.model.TestClass):org.junit.runners.model.FrameworkMethod	org.junit.runners.model.TestClass	0/2	
Move Method	junit.framework.JUnit4TestAdapter::isIgnored(org.junit.runner.Description):boolean	org.junit.runner.Description	0/1	
Move Method	org.junit.experimental.categories.Categories.CategoryFilter::parentDescription(org.junit.runner.Description):org.junit.runner.Description	org.junit.runner.Description	0/1	
Move Method	org.junit.experimental.theories.internal.Assignments::getAnnotatedSupplier(org.junit.experimental.theories.ParameterSignature):org.junit.experimental.theories.ParameterSupplier	org.junit.experimental.theories.ParameterSignature	0/1	
Move Method	org.junit.runner.Computer::getSuite(org.junit.runners.model.RunnerBuilder, java.lang.Class<?>[]):org.junit.runner.Runner	org.junit.runners.model.RunnerBuilder	0/1	
Move Method	org.junit.runners.ParentRunner::getClassRule(org.junit.runners.model.FrameworkField):org.junit.rules.TestRule	org.junit.runners.model.FrameworkField	0/1	
Move Method	junit.textui.ResultPrinter::printFooter(junit.framework.TestResult):void	junit.framework.TestResult	1/4	
Move Method	junit.framework.JUnit4TestAdapterCache::getNotifier(junit.framework.TestResult, junit.framework.JUnit4TestAdapter):org.junit.runner.notification.RunNotifier	junit.framework.TestResult	1/3	
Move Method	org.junit.internal.TextListener::printFooter(org.junit.runner.Result):void	org.junit.runner.Result	1/3	
Move Method	org.junit.internal.runners.ErrorReportingRunner::runCause(java.lang.Throwable, org.junit.runner.notification.RunNotifier):void	org.junit.runner.notification.RunNotifier	1/3	
Move Method	org.junit.runner.JUnitCore::run(org.junit.runner.Runner):org.junit.runner.Result	org.junit.runner.notification.RunNotifier	1/3	
Move Method	org.junit.experimental.theories.Theories.TheoryAnchor::runWithIncompleteAssignment(org.junit.experimental.theories.internal.Assignments):void	org.junit.experimental.theories.internal.Assignments	1/2	
Move Method	org.junit.internal.TextListener::printFailure(org.junit.runner.notification.Failure, java.lang.String):void	org.junit.runner.notification.Failure	1/2	
Move Method	org.junit.runner.JUnitCore::run(org.junit.runner.Runner):org.junit.runner.Result	org.junit.runner.Runner	1/2	
Move Method	org.junit.experimental.max.MaxCore::buildRunner(org.junit.runner.Description):org.junit.runner.Runner	org.junit.runner.Description	2/3	
