Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	net.sourceforge.pmd.lang.java.dfa.StatementAndBraceFinder::addForExpressionNode(net.sourceforge.pmd.lang.ast.Node, net.sourceforge.pmd.lang.dfa.Structure):void	net.sourceforge.pmd.lang.dfa.Structure	1/3	
Move Method	net.sourceforge.pmd.lang.java.rule.unusedcode.UnusedFormalParameterRule::isSerializationMethod(net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration):boolean	net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration	1/3	
Move Method	net.sourceforge.pmd.lang.java.typeresolution.ClassTypeResolver::getClassName(net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit):java.lang.String	net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit	1/3	
Move Method	net.sourceforge.pmd.lang.plsql.symboltable.LocalScope::findVariableHere(net.sourceforge.pmd.lang.plsql.symboltable.PLSQLNameOccurrence):net.sourceforge.pmd.lang.symboltable.NameDeclaration	net.sourceforge.pmd.lang.plsql.symboltable.PLSQLNameOccurrence	1/3	
Move Method	net.sourceforge.pmd.lang.plsql.symboltable.MethodScope::findVariableHere(net.sourceforge.pmd.lang.plsql.symboltable.PLSQLNameOccurrence):net.sourceforge.pmd.lang.symboltable.NameDeclaration	net.sourceforge.pmd.lang.plsql.symboltable.PLSQLNameOccurrence	1/3	
Move Method	net.sourceforge.pmd.util.designer.Designer::loadASTTreeData(javax.swing.tree.TreeNode):void	net.sourceforge.pmd.util.designer.Designer.TreeWidget	1/3	
Move Method	net.sourceforge.pmd.PMDConfiguration::getLanguageVersionOfFile(java.lang.String):net.sourceforge.pmd.lang.LanguageVersion	net.sourceforge.pmd.lang.LanguageVersionDiscoverer	1/2	
Move Method	net.sourceforge.pmd.RuleSetFactory::createRule(net.sourceforge.pmd.RuleSetReferenceId):net.sourceforge.pmd.Rule	net.sourceforge.pmd.RuleSetReferenceId	1/2	
Move Method	net.sourceforge.pmd.RuleSetFactory::parseRuleSetNode(net.sourceforge.pmd.RuleSetReferenceId, java.io.InputStream):net.sourceforge.pmd.RuleSet	net.sourceforge.pmd.RuleSetReferenceId	1/2	
Move Method	net.sourceforge.pmd.ant.PMDTask::addConfiguredSourceLanguage(net.sourceforge.pmd.ant.SourceLanguage):void	net.sourceforge.pmd.ant.SourceLanguage	1/2	
Move Method	net.sourceforge.pmd.lang.java.rule.junit.JUnitAssertionsShouldIncludeMessageRule::check(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTArguments, int, java.lang.String):void	net.sourceforge.pmd.lang.java.ast.ASTArguments	1/2	
Move Method	net.sourceforge.pmd.lang.java.rule.unnecessary.UselessOperationOnImmutableRule::getDeclaration(net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclaration):net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId	net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclaration	1/2	
Move Method	net.sourceforge.pmd.lang.java.typeresolution.visitors.PMDASMVisitor.PMDMethodVisitor::visitAnnotation(java.lang.String, java.lang.String):org.objectweb.asm.AnnotationVisitor	net.sourceforge.pmd.lang.java.typeresolution.visitors.PMDASMVisitor	1/2	
Move Method	net.sourceforge.pmd.util.designer.Designer::loadSymbolTableTreeData(javax.swing.tree.TreeNode):void	net.sourceforge.pmd.util.designer.Designer.TreeWidget	1/2	
Move Method	net.sourceforge.pmd.lang.java.rule.controversial.DataflowAnomalyAnalysisRule::checkVariableAccess(net.sourceforge.pmd.lang.dfa.DataFlowNode, net.sourceforge.pmd.lang.dfa.VariableAccess, net.sourceforge.pmd.lang.java.rule.controversial.DataflowAnomalyAnalysisRule.Usage):void	net.sourceforge.pmd.lang.dfa.VariableAccess	2/5	
Move Method	net.sourceforge.pmd.lang.xml.ast.XmlParser::parseDocument(java.io.Reader):org.w3c.dom.Document	net.sourceforge.pmd.lang.xml.XmlParserOptions	2/4	
Move Method	net.sourceforge.pmd.lang.dfa.pathfinder.DAAPathFinder::addCurrentChild():void	net.sourceforge.pmd.lang.dfa.pathfinder.CurrentPath	2/3	
Move Method	net.sourceforge.pmd.lang.java.symboltable.ScopeAndDeclarationFinder::createSourceFileScope(net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit):void	net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit	2/3	
Move Method	net.sourceforge.pmd.lang.vm.rule.basic.CollapsibleIfStatementsRule::handleIfElseIf(net.sourceforge.pmd.lang.vm.ast.AbstractVmNode, java.lang.Object):void	net.sourceforge.pmd.lang.vm.ast.AbstractVmNode	2/3	
