Alpha;MCC
10.0;0.38430927492611844
8.0;0.35738888958779136
9.5;0.35675533680665017
7.5;0.3500737678047852
9.0;0.3476448297495929
10.5;0.34351717545026894
11.0;0.34351717545026894
8.5;0.3384059502049807
6.5;0.3366565337932622
7.0;0.32783190144469637
6.0;0.30673781087779023
5.5;0.2994415412804116
4.5;0.2721916030698224
5.0;0.26887737554796076
12.0;0.24776645119185806
11.5;0.24776645119185806
4.0;0.24662579153384107
3.5;0.23547090359210288
12.5;0.2074550112988448
13.0;0.2074550112988448
13.5;0.2074550112988448
14.0;0.2074550112988448
14.5;0.2074550112988448
15.0;0.2074550112988448
15.5;0.2074550112988448
2.5;0.1952878748859694
3.0;0.1952008105981232
1.0;0.1866966530953757
1.5;0.17795697263259141
18.0;0.1592560167806089
18.5;0.1592560167806089
17.5;0.1592560167806089
16.0;0.1592560167806089
16.5;0.1592560167806089
17.0;0.1592560167806089
19.0;0.1592560167806089
2.0;0.15627293365335035
0.5;0.1484733090420476
19.5;0.09674003420402226
0.0;0.010467420871422418
