Alpha;MCC
10.0;0.33719943042305384
8.0;0.31310194755660836
9.5;0.3128825835747632
7.5;0.3066379711871456
9.0;0.30472546771533915
10.5;0.3015338445933274
11.0;0.3015338445933274
8.5;0.296565400392876
6.5;0.29453122635996337
7.0;0.28685114516005344
6.0;0.26805067105570635
5.5;0.2615886876340736
4.5;0.23728468733134186
5.0;0.23449778354175713
11.5;0.21745077090439507
12.0;0.21745077090439507
4.0;0.21441475384838243
3.5;0.20449124758746717
12.5;0.18204426432219944
13.0;0.18204426432219944
13.5;0.18204426432219944
14.0;0.18204426432219944
14.5;0.18204426432219944
15.0;0.18204426432219944
15.5;0.18204426432219944
3.0;0.15789430971342583
2.5;0.15759404821494563
18.0;0.13970406087976017
19.0;0.13970406087976017
18.5;0.13970406087976017
17.5;0.13970406087976017
16.0;0.13970406087976017
16.5;0.13970406087976017
17.0;0.13970406087976017
1.0;0.13190764630771068
2.0;0.13073968438328892
1.5;0.12917606330879539
0.5;0.11571339332782889
19.5;0.08477693758161138
0.0;0.01205737002799496
