Alpha;F-measure
4.0;0.16666666666666666
3.5;0.1553398058252427
4.5;0.15217391304347824
6.5;0.1518987341772152
6.0;0.14814814814814814
3.0;0.14754098360655737
2.5;0.14492753623188406
5.5;0.14457831325301204
1.5;0.14107883817427386
5.0;0.13953488372093023
8.0;0.13513513513513511
7.5;0.13333333333333333
7.0;0.13157894736842105
2.0;0.13114754098360654
1.0;0.12652068126520682
10.0;0.11940298507462686
9.5;0.1176470588235294
9.0;0.1142857142857143
8.5;0.11267605633802817
13.0;0.0909090909090909
15.5;0.0909090909090909
15.0;0.0909090909090909
14.5;0.0909090909090909
11.0;0.0909090909090909
13.5;0.0909090909090909
11.5;0.0909090909090909
12.5;0.0909090909090909
12.0;0.0909090909090909
10.5;0.0909090909090909
14.0;0.0909090909090909
0.5;0.07851690294438385
19.0;0.06153846153846154
16.0;0.06153846153846154
16.5;0.06153846153846154
17.0;0.06153846153846154
17.5;0.06153846153846154
18.0;0.06153846153846154
18.5;0.06153846153846154
19.5;0.03125
0.0;0.028213879408418657
