Alpha;MCC
0.100;0.330162506919
0.080;0.306838339914
0.095;0.306449296824
0.075;0.300539461022
0.090;0.298557960111
0.105;0.295187006643
0.110;0.295187006643
0.085;0.29060460853
0.065;0.288858489317
0.070;0.281322202696
0.060;0.263078893305
0.055;0.259883821195
0.050;0.232759460121
0.045;0.221740525281
0.120;0.212924787522
0.115;0.212924787522
0.040;0.189559969005
0.035;0.181622407009
0.125;0.178284293215
0.130;0.178284293215
0.135;0.178284293215
0.140;0.178284293215
0.145;0.178284293215
0.150;0.178284293215
0.155;0.178284293215
0.010;0.155296887267
0.025;0.153833631306
0.015;0.152088578197
0.030;0.151544311177
0.180;0.136860939368
0.185;0.136860939368
0.175;0.136860939368
0.160;0.136860939368
0.165;0.136860939368
0.170;0.136860939368
0.190;0.136860939368
0.020;0.132339028135
0.005;0.12786808109
0.195;0.0831266440634
0.000;0.0108159250839
