CommitNumber;Entity;Method;Change
434199ba6298c9ee0f2216413a0aa80fb6e89bd5;METHOD;org.apache.tools.ant.Main.main(String);MODIFIED
434199ba6298c9ee0f2216413a0aa80fb6e89bd5;METHOD;org.apache.tools.ant.Project.detectJavaVersion();MODIFIED
434199ba6298c9ee0f2216413a0aa80fb6e89bd5;METHOD;org.apache.tools.ant.taskdefs.Exec.run(String);MODIFIED
98011c720d101a3f345ace097560261f3ff2b692;METHOD;org.apache.tools.ant.taskdefs.Rmic.execute();MODIFIED
a083d10c4712deee91d1cb4394a48a77770f8f20;METHOD;org.apache.tools.ant.taskdefs.Cvs.execute();MODIFIED
a083d10c4712deee91d1cb4394a48a77770f8f20;METHOD;org.apache.tools.ant.taskdefs.Exec.run(String);MODIFIED
9da1c9bee03267d38411426f2a0830acee466bd6;METHOD;org.apache.tools.ant.taskdefs.Tstamp.execute();MODIFIED
7bff5943730172bf22d4c371e1fad0c5f749ae0e;METHOD;org.apache.tools.ant.taskdefs.Java.execute();MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.setSrcdir(String);MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.setDestdir(String);MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.setBootclasspath(String);MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.setDeprecation(String);MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.setDebug(String);MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.setOptimize(String);MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.execute();MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.scanDir(File,File);MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.getCompileClasspath();MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.doClassicCompile();MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.doModernCompile();MODIFIED
9584bd0fe2ffef9725fc09d801c36f56701d64ea;METHOD;org.apache.tools.ant.taskdefs.Javac.doJikesCompile();MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setPublic(String);MODIFIED
