Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.derby.impl.sql.compile.Level2OptimizerImpl::dumpConglomerateDescriptor(org.apache.derby.iapi.sql.dictionary.ConglomerateDescriptor):java.lang.String	org.apache.derby.iapi.sql.dictionary.ConglomerateDescriptor	0/7	
Move Method	org.apache.derby.impl.sql.catalog.DataDictionaryImpl::initSystemIndexVariables(org.apache.derby.iapi.sql.dictionary.DataDescriptorGenerator, org.apache.derby.impl.sql.catalog.TabInfoImpl, int):void	org.apache.derby.impl.sql.catalog.TabInfoImpl	0/5	
Move Method	org.apache.derby.impl.sql.compile.PredicateList::generateSetColumn(org.apache.derby.impl.sql.compile.ExpressionClassBuilder, org.apache.derby.iapi.services.compiler.MethodBuilder, int, org.apache.derby.impl.sql.compile.Predicate, org.apache.derby.iapi.sql.compile.Optimizable, org.apache.derby.iapi.services.compiler.LocalField, boolean):void	org.apache.derby.impl.sql.compile.Predicate	0/4	
Move Method	org.apache.derby.impl.sql.catalog.DD_Version::fillIndex(org.apache.derby.iapi.store.access.TransactionController, long, org.apache.derby.impl.sql.catalog.TabInfoImpl, int):void	org.apache.derby.impl.sql.catalog.TabInfoImpl	0/3	
Move Method	org.apache.derby.impl.sql.compile.ColumnDefinitionNode::defaultTypeIsValid(org.apache.derby.iapi.types.TypeId, org.apache.derby.iapi.types.DataTypeDescriptor, org.apache.derby.iapi.types.TypeId, org.apache.derby.impl.sql.compile.ValueNode, java.lang.String):boolean	org.apache.derby.impl.sql.compile.ValueNode	0/3	
Move Method	org.apache.derby.impl.sql.compile.PredicateList::generateIndexableRow(org.apache.derby.impl.sql.compile.ExpressionClassBuilder, int):org.apache.derby.iapi.services.compiler.LocalField	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	0/3	
Move Method	org.apache.derby.impl.sql.compile.TernaryOperatorNode::bindParameter(org.apache.derby.impl.sql.compile.ValueNode, int):boolean	org.apache.derby.impl.sql.compile.ValueNode	0/3	
Move Method	org.apache.derby.impl.store.access.heap.HeapCompressScan::positionAfterThisPage(org.apache.derby.impl.store.access.conglomerate.RowPosition):void	org.apache.derby.impl.store.access.conglomerate.RowPosition	0/3	
Move Method	org.apache.derby.impl.store.access.heap.HeapPostCommit::purgeCommittedDeletes(org.apache.derby.impl.store.access.heap.HeapController, long):void	org.apache.derby.impl.store.access.heap.HeapController	0/3	
Move Method	org.apache.derby.impl.store.raw.data.LoggableActions::doAction(org.apache.derby.iapi.store.raw.xact.RawTransaction, org.apache.derby.impl.store.raw.data.BasePage, org.apache.derby.iapi.store.raw.Loggable):void	org.apache.derby.impl.store.raw.data.BasePage	0/3	
Move Method	org.apache.derby.impl.sql.catalog.DataDictionaryImpl::duplicateDescriptorException(org.apache.derby.iapi.sql.dictionary.TupleDescriptor, org.apache.derby.iapi.sql.dictionary.TupleDescriptor):org.apache.derby.iapi.error.StandardException	org.apache.derby.iapi.sql.dictionary.TupleDescriptor	0/2	
Move Method	org.apache.derby.impl.sql.catalog.TabInfoImpl::getIndexRowFromHeapRow(org.apache.derby.iapi.sql.dictionary.IndexRowGenerator, org.apache.derby.iapi.types.RowLocation, org.apache.derby.iapi.sql.execute.ExecRow):org.apache.derby.iapi.sql.execute.ExecIndexRow	org.apache.derby.iapi.sql.dictionary.IndexRowGenerator	0/2	
Move Method	org.apache.derby.impl.sql.compile.BaseTypeCompiler::userTypeStorable(org.apache.derby.iapi.types.TypeId, org.apache.derby.iapi.types.TypeId, org.apache.derby.iapi.services.loader.ClassFactory):boolean	org.apache.derby.iapi.types.TypeId	0/2	
Move Method	org.apache.derby.impl.sql.compile.CreateViewNode::bindViewDefinition(org.apache.derby.iapi.sql.dictionary.DataDictionary, org.apache.derby.iapi.sql.compile.CompilerContext, org.apache.derby.iapi.sql.conn.LanguageConnectionContext, org.apache.derby.iapi.sql.compile.NodeFactory, org.apache.derby.impl.sql.compile.ResultSetNode, org.apache.derby.iapi.services.context.ContextManager):org.apache.derby.iapi.sql.depend.ProviderInfo[]	org.apache.derby.iapi.sql.compile.NodeFactory	0/2	
Move Method	org.apache.derby.impl.sql.compile.ModifyColumnNode::getLocalColumnDescriptor(java.lang.String, org.apache.derby.iapi.sql.dictionary.TableDescriptor):org.apache.derby.iapi.sql.dictionary.ColumnDescriptor	org.apache.derby.iapi.sql.dictionary.TableDescriptor	0/2	
Move Method	org.apache.derby.impl.sql.compile.PredicateList::generateSingleQualifierCode(org.apache.derby.iapi.services.compiler.MethodBuilder, org.apache.derby.iapi.sql.compile.Optimizable, boolean, org.apache.derby.impl.sql.compile.ExpressionClassBuilder, org.apache.derby.impl.sql.compile.RelationalOperator, org.apache.derby.iapi.services.compiler.LocalField, int, int):void	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	0/2	
Move Method	org.apache.derby.impl.sql.compile.RenameNode::descriptorExistsException(org.apache.derby.iapi.sql.dictionary.TupleDescriptor, org.apache.derby.iapi.sql.dictionary.TupleDescriptor):org.apache.derby.iapi.error.StandardException	org.apache.derby.iapi.sql.dictionary.TupleDescriptor	0/2	
Move Method	org.apache.derby.impl.sql.compile.ResultColumnList::genCreateRow(org.apache.derby.impl.sql.compile.ExpressionClassBuilder, org.apache.derby.iapi.services.compiler.LocalField, java.lang.String, java.lang.String, int):void	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	0/2	
Move Method	org.apache.derby.impl.sql.execute.AlterTableConstantAction::getColumnMax(org.apache.derby.iapi.sql.Activation, org.apache.derby.iapi.sql.dictionary.TableDescriptor, java.lang.String, long, long):long	org.apache.derby.iapi.sql.dictionary.TableDescriptor	0/2	
Move Method	org.apache.derby.impl.sql.execute.InsertResultSet::makeIndexTemplate(org.apache.derby.impl.sql.execute.FKInfo, org.apache.derby.iapi.sql.execute.ExecRow, org.apache.derby.iapi.services.context.ContextManager):org.apache.derby.iapi.sql.execute.ExecRow	org.apache.derby.impl.sql.execute.FKInfo	0/2	
Move Method	org.apache.derby.impl.sql.execute.PrivilegeInfo::checkOwnership(java.lang.String, org.apache.derby.iapi.sql.dictionary.TupleDescriptor, org.apache.derby.iapi.sql.dictionary.SchemaDescriptor, org.apache.derby.iapi.sql.dictionary.DataDictionary):void	org.apache.derby.iapi.sql.dictionary.SchemaDescriptor	0/2	
Move Method	org.apache.derby.impl.store.raw.data.BaseContainer::letGo(org.apache.derby.impl.store.raw.data.BaseContainerHandle):void	org.apache.derby.impl.store.raw.data.BaseContainerHandle	0/2	
Move Method	org.apache.derby.impl.services.locks.LockControl::addWaiter(java.util.List, org.apache.derby.impl.services.locks.Lock, org.apache.derby.impl.services.locks.LockSet):void	org.apache.derby.impl.services.locks.LockSet	0/1	
Move Method	org.apache.derby.impl.services.locks.LockControl::popFrontWaiter(java.util.List, org.apache.derby.impl.services.locks.LockSet):java.lang.Object	org.apache.derby.impl.services.locks.LockSet	0/1	
Move Method	org.apache.derby.impl.services.locks.LockControl::removeWaiter(java.util.List, int, org.apache.derby.impl.services.locks.LockSet):java.lang.Object	org.apache.derby.impl.services.locks.LockSet	0/1	
Move Method	org.apache.derby.impl.services.locks.LockControl::removeWaiter(java.util.List, java.lang.Object, org.apache.derby.impl.services.locks.LockSet):int	org.apache.derby.impl.services.locks.LockSet	0/1	
Move Method	org.apache.derby.impl.sql.compile.DMLModStatementNode::generateCheckConstraints(org.apache.derby.impl.sql.compile.ValueNode, org.apache.derby.impl.sql.compile.ExpressionClassBuilder):org.apache.derby.iapi.services.compiler.MethodBuilder	org.apache.derby.impl.sql.compile.ValueNode	0/1	
Move Method	org.apache.derby.impl.sql.compile.DMLModStatementNode::generateCheckConstraints(org.apache.derby.impl.sql.compile.ValueNode, org.apache.derby.impl.sql.compile.ExpressionClassBuilder):org.apache.derby.iapi.services.compiler.MethodBuilder	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	0/1	
Move Method	org.apache.derby.impl.sql.compile.DMLModStatementNode::remapReferencedColumns(org.apache.derby.iapi.sql.dictionary.ConstraintDescriptor, int[]):int[]	org.apache.derby.iapi.sql.dictionary.ConstraintDescriptor	0/1	
Move Method	org.apache.derby.impl.sql.compile.DMLModStatementNode::getRowMap(org.apache.derby.iapi.services.io.FormatableBitSet, org.apache.derby.iapi.sql.dictionary.TableDescriptor):int[]	org.apache.derby.iapi.sql.dictionary.TableDescriptor	0/1	
Move Method	org.apache.derby.impl.sql.compile.ExpressionClassBuilder::addColumnToOrdering(org.apache.derby.iapi.services.io.FormatableArrayHolder, int):org.apache.derby.iapi.services.io.FormatableArrayHolder	org.apache.derby.iapi.services.io.FormatableArrayHolder	0/1	
Move Method	org.apache.derby.impl.sql.compile.JavaValueNode::mapToTypeID(org.apache.derby.iapi.types.JSQLType):org.apache.derby.iapi.types.TypeId	org.apache.derby.iapi.types.JSQLType	0/1	
Move Method	org.apache.derby.impl.sql.compile.PredicateList::finishKey(org.apache.derby.impl.sql.compile.ExpressionClassBuilder, org.apache.derby.iapi.services.compiler.MethodBuilder, org.apache.derby.iapi.services.compiler.MethodBuilder, org.apache.derby.iapi.services.compiler.LocalField):void	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	0/1	
Move Method	org.apache.derby.impl.sql.compile.SelectNode::isOrderedResult(org.apache.derby.impl.sql.compile.ResultColumnList, org.apache.derby.impl.sql.compile.ResultSetNode, boolean):boolean	org.apache.derby.impl.sql.compile.ResultSetNode	0/1	
Move Method	org.apache.derby.impl.sql.depend.BasicDependencyManager::getLanguageConnectionContext(org.apache.derby.iapi.services.context.ContextManager):org.apache.derby.iapi.sql.conn.LanguageConnectionContext	org.apache.derby.iapi.services.context.ContextManager	0/1	
Move Method	org.apache.derby.impl.sql.execute.SetConstraintsConstantAction::getRowLocation(org.apache.derby.iapi.sql.dictionary.DataDictionary, org.apache.derby.iapi.sql.dictionary.TableDescriptor, org.apache.derby.iapi.store.access.TransactionController):org.apache.derby.iapi.types.RowLocation	org.apache.derby.iapi.sql.dictionary.TableDescriptor	0/1	
Move Method	org.apache.derby.impl.store.access.btree.BTreePostCommit::getShrinkKey(org.apache.derby.impl.store.access.btree.OpenBTree, org.apache.derby.impl.store.access.btree.ControlRow, int):org.apache.derby.iapi.types.DataValueDescriptor[]	org.apache.derby.impl.store.access.btree.OpenBTree	0/1	
Move Method	org.apache.derby.impl.store.access.btree.ControlRow::getRowTemplate(org.apache.derby.impl.store.access.btree.OpenBTree):org.apache.derby.iapi.types.DataValueDescriptor[]	org.apache.derby.impl.store.access.btree.OpenBTree	0/1	
Move Method	org.apache.derby.impl.sql.catalog.DataDictionaryImpl::bootstrapOneIndex(org.apache.derby.iapi.sql.dictionary.SchemaDescriptor, org.apache.derby.iapi.store.access.TransactionController, org.apache.derby.iapi.sql.dictionary.DataDescriptorGenerator, org.apache.derby.impl.sql.catalog.TabInfoImpl, int, long):org.apache.derby.iapi.sql.dictionary.ConglomerateDescriptor	org.apache.derby.impl.sql.catalog.TabInfoImpl	1/6	
Move Method	org.apache.derby.impl.sql.compile.DMLModStatementNode::fkSetupArrays(org.apache.derby.iapi.sql.dictionary.DataDictionary, org.apache.derby.iapi.sql.dictionary.ForeignKeyConstraintDescriptor, int, org.apache.derby.catalog.UUID[], long[], java.lang.String[], boolean[], int[]):void	org.apache.derby.iapi.sql.dictionary.ForeignKeyConstraintDescriptor	1/6	
Move Method	org.apache.derby.impl.store.raw.data.D_StoredPage::checkSlotTable(java.io.PrintStream):boolean	org.apache.derby.impl.store.raw.data.StoredPage	1/6	
Move Method	org.apache.derby.impl.services.cache.Clock::release(org.apache.derby.impl.services.cache.CachedItem):void	org.apache.derby.impl.services.cache.CachedItem	1/5	
Move Method	org.apache.derby.impl.sql.compile.BaseTypeCompiler::numberConvertible(org.apache.derby.iapi.types.TypeId, boolean):boolean	org.apache.derby.iapi.types.TypeId	1/5	
Move Method	org.apache.derby.impl.sql.compile.ResultSetNode::bindResultColumns(org.apache.derby.iapi.sql.dictionary.TableDescriptor, org.apache.derby.impl.sql.compile.FromVTI, org.apache.derby.impl.sql.compile.ResultColumnList, org.apache.derby.impl.sql.compile.DMLStatementNode, org.apache.derby.impl.sql.compile.FromList):void	org.apache.derby.impl.sql.compile.ResultColumnList	1/5	
Move Method	org.apache.derby.impl.sql.catalog.DD_Version::dropSystemCatalogDescription(org.apache.derby.iapi.store.access.TransactionController, org.apache.derby.iapi.sql.dictionary.TableDescriptor):void	org.apache.derby.impl.sql.catalog.DataDictionaryImpl	1/4	
Move Method	org.apache.derby.impl.store.access.conglomerate.OpenConglomerate::latchPageAndRepositionScan(org.apache.derby.impl.store.access.conglomerate.RowPosition):boolean	org.apache.derby.impl.store.access.conglomerate.RowPosition	1/4	
Move Method	org.apache.derby.jdbc.EmbedXAResource::returnConnectionToResource(org.apache.derby.jdbc.XATransactionState, org.apache.derby.iapi.store.access.xa.XAXactId):void	org.apache.derby.jdbc.XATransactionState	1/4	
Move Method	org.apache.derby.impl.jdbc.UTF8Reader::calculateBufferSize(org.apache.derby.iapi.jdbc.CharacterStreamDescriptor):int	org.apache.derby.iapi.jdbc.CharacterStreamDescriptor	1/3	
Move Method	org.apache.derby.impl.sql.catalog.DD_Version::dropJDBCMetadataSPSes(org.apache.derby.iapi.store.access.TransactionController, boolean):void	org.apache.derby.impl.sql.catalog.DataDictionaryImpl	1/3	
Move Method	org.apache.derby.impl.sql.catalog.DataDictionaryImpl::isSchemaReferenced(org.apache.derby.iapi.store.access.TransactionController, org.apache.derby.impl.sql.catalog.TabInfoImpl, int, int, org.apache.derby.iapi.types.DataValueDescriptor):boolean	org.apache.derby.impl.sql.catalog.TabInfoImpl	1/3	
Move Method	org.apache.derby.impl.sql.compile.BaseTypeCompiler::numberComparable(org.apache.derby.iapi.types.TypeId, boolean, org.apache.derby.iapi.services.loader.ClassFactory):boolean	org.apache.derby.iapi.types.TypeId	1/3	
Move Method	org.apache.derby.impl.sql.compile.ColumnReference::getTablesReferenced(org.apache.derby.iapi.util.JBitSet):void	org.apache.derby.iapi.util.JBitSet	1/3	
Move Method	org.apache.derby.impl.sql.compile.DMLModStatementNode::generateCodeForTemporaryTable(org.apache.derby.impl.sql.compile.ActivationClassBuilder, org.apache.derby.iapi.services.compiler.MethodBuilder):void	org.apache.derby.iapi.sql.dictionary.TableDescriptor	1/3	
Move Method	org.apache.derby.impl.sql.compile.ResultSetNode::setTableConstructorTypes(org.apache.derby.impl.sql.compile.ResultColumnList):void	org.apache.derby.impl.sql.compile.QueryTreeNodeVector	1/3	
Move Method	org.apache.derby.impl.sql.compile.UnaryComparisonOperatorNode::generateQualMethod(org.apache.derby.impl.sql.compile.ExpressionClassBuilder, org.apache.derby.iapi.services.compiler.MethodBuilder, org.apache.derby.iapi.sql.compile.Optimizable):void	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	1/3	
Move Method	org.apache.derby.impl.sql.execute.AlterTableConstantAction::validateNotNullConstraint(java.lang.String[], boolean[], int, org.apache.derby.iapi.sql.conn.LanguageConnectionContext, java.lang.String):boolean	org.apache.derby.iapi.sql.dictionary.TableDescriptor	1/3	
Move Method	org.apache.derby.impl.sql.execute.SetConstraintsConstantAction::validateFKConstraint(org.apache.derby.iapi.sql.dictionary.ForeignKeyConstraintDescriptor, org.apache.derby.iapi.sql.dictionary.DataDictionary, org.apache.derby.iapi.store.access.TransactionController, org.apache.derby.iapi.services.context.ContextManager):void	org.apache.derby.iapi.sql.dictionary.ForeignKeyConstraintDescriptor	1/3	
Move Method	org.apache.derby.impl.store.access.RAMTransaction::determine_locking_policy(int, int):org.apache.derby.iapi.store.raw.LockingPolicy	org.apache.derby.impl.store.access.RAMAccessManager	1/3	
