NORM_NAME;NAME
org.apache.tools.ant.ExitException.getStatus();ExitException.getStatus()
org.apache.tools.ant.DirectoryScanner.matchPatternStart(string, string);DirectoryScanner.matchPatternStart(String, String)
org.apache.tools.ant.DirectoryScanner.matchPatternStart(boolean, string, string);DirectoryScanner.matchPatternStart(String, String, boolean)
org.apache.tools.ant.DirectoryScanner.matchPath(string, string);DirectoryScanner.matchPath(String, String)
org.apache.tools.ant.DirectoryScanner.matchPath(boolean, string, string);DirectoryScanner.matchPath(String, String, boolean)
org.apache.tools.ant.DirectoryScanner.match(string, string);DirectoryScanner.match(String, String)
org.apache.tools.ant.DirectoryScanner.match(boolean, string, string);DirectoryScanner.match(String, String, boolean)
org.apache.tools.ant.DirectoryScanner.getDefaultExcludes();DirectoryScanner.getDefaultExcludes()
org.apache.tools.ant.DirectoryScanner.addDefaultExclude(string);DirectoryScanner.addDefaultExclude(String)
org.apache.tools.ant.DirectoryScanner.removeDefaultExclude(string);DirectoryScanner.removeDefaultExclude(String)
org.apache.tools.ant.DirectoryScanner.resetDefaultExcludes();DirectoryScanner.resetDefaultExcludes()
org.apache.tools.ant.DirectoryScanner.setBasedir(string);DirectoryScanner.setBasedir(String)
org.apache.tools.ant.DirectoryScanner.setBasedir(file);DirectoryScanner.setBasedir(File)
org.apache.tools.ant.DirectoryScanner.getBasedir();DirectoryScanner.getBasedir()
org.apache.tools.ant.DirectoryScanner.isCaseSensitive();DirectoryScanner.isCaseSensitive()
org.apache.tools.ant.DirectoryScanner.setCaseSensitive(boolean);DirectoryScanner.setCaseSensitive(boolean)
org.apache.tools.ant.DirectoryScanner.isFollowSymlinks();DirectoryScanner.isFollowSymlinks()
org.apache.tools.ant.DirectoryScanner.setFollowSymlinks(boolean);DirectoryScanner.setFollowSymlinks(boolean)
org.apache.tools.ant.DirectoryScanner.setIncludes(string);DirectoryScanner.setIncludes(String)
org.apache.tools.ant.DirectoryScanner.setExcludes(string);DirectoryScanner.setExcludes(String)
org.apache.tools.ant.DirectoryScanner.addExcludes(string);DirectoryScanner.addExcludes(String)
org.apache.tools.ant.DirectoryScanner.normalizePattern(string);DirectoryScanner.normalizePattern(String)
org.apache.tools.ant.DirectoryScanner.setSelectors(fileselector);DirectoryScanner.setSelectors(FileSelector)
org.apache.tools.ant.DirectoryScanner.isEverythingIncluded();DirectoryScanner.isEverythingIncluded()
org.apache.tools.ant.DirectoryScanner.scan();DirectoryScanner.scan()
