NORM_NAME;NAME
android.support.v4.app.NotificationCompat.setContentIntent(pendingintent);NotificationCompat.setContentIntent(PendingIntent)
android.support.v4.app.NotificationCompat.setDeleteIntent(pendingintent);NotificationCompat.setDeleteIntent(PendingIntent)
android.support.v4.app.NotificationCompat.setFullScreenIntent(boolean, pendingintent);NotificationCompat.setFullScreenIntent(PendingIntent, boolean)
android.support.v4.app.NotificationCompat.setTicker(charsequence);NotificationCompat.setTicker(CharSequence)
android.support.v4.app.NotificationCompat.setTicker(charsequence, remoteviews);NotificationCompat.setTicker(CharSequence, RemoteViews)
android.support.v4.app.NotificationCompat.setLargeIcon(bitmap);NotificationCompat.setLargeIcon(Bitmap)
android.support.v4.app.NotificationCompat.setSound(uri);NotificationCompat.setSound(Uri)
android.support.v4.app.NotificationCompat.setSound(int, uri);NotificationCompat.setSound(Uri, int)
android.support.v4.app.NotificationCompat.setVibrate(long);NotificationCompat.setVibrate(long)
android.support.v4.app.NotificationCompat.setLights(int, int, int);NotificationCompat.setLights(int, int, int)
android.support.v4.app.NotificationCompat.setOngoing(boolean);NotificationCompat.setOngoing(boolean)
android.support.v4.app.NotificationCompat.setOnlyAlertOnce(boolean);NotificationCompat.setOnlyAlertOnce(boolean)
android.support.v4.app.NotificationCompat.setAutoCancel(boolean);NotificationCompat.setAutoCancel(boolean)
android.support.v4.app.NotificationCompat.setDefaults(int);NotificationCompat.setDefaults(int)
android.support.v4.app.NotificationCompat.setFlag(boolean, int);NotificationCompat.setFlag(int, boolean)
android.support.v4.app.NotificationCompat.setPriority(int);NotificationCompat.setPriority(int)
android.support.v4.app.NotificationCompat.addAction(charsequence, int, pendingintent);NotificationCompat.addAction(int, CharSequence, PendingIntent)
android.support.v4.app.NotificationCompat.setStyle(style);NotificationCompat.setStyle(Style)
android.support.v4.app.NotificationCompat.getNotification();NotificationCompat.getNotification()
android.support.v4.app.NotificationCompat.build();NotificationCompat.build()
android.support.v4.app.NotificationCompat.setBuilder(builder);NotificationCompat.setBuilder(Builder)
android.support.v4.app.NotificationCompat.build();NotificationCompat.build()
android.support.v4.app.NotificationCompat.setBigContentTitle(charsequence);NotificationCompat.setBigContentTitle(CharSequence)
android.support.v4.app.NotificationCompat.setSummaryText(charsequence);NotificationCompat.setSummaryText(CharSequence)
android.support.v4.app.NotificationCompat.bigPicture(bitmap);NotificationCompat.bigPicture(Bitmap)
android.support.v4.app.NotificationCompat.setBigContentTitle(charsequence);NotificationCompat.setBigContentTitle(CharSequence)
android.support.v4.app.NotificationCompat.setSummaryText(charsequence);NotificationCompat.setSummaryText(CharSequence)
android.support.v4.app.NotificationCompat.bigText(charsequence);NotificationCompat.bigText(CharSequence)
android.support.v4.app.NotificationCompat.setBigContentTitle(charsequence);NotificationCompat.setBigContentTitle(CharSequence)
android.support.v4.app.NotificationCompat.setSummaryText(charsequence);NotificationCompat.setSummaryText(CharSequence)
android.support.v4.app.NotificationCompat.addLine(charsequence);NotificationCompat.addLine(CharSequence)
android.support.v4.app.FragmentManager.getId();FragmentManager.getId()
android.support.v4.app.FragmentManager.getName();FragmentManager.getName()
android.support.v4.app.FragmentManager.getBreadCrumbTitleRes();FragmentManager.getBreadCrumbTitleRes()
android.support.v4.app.FragmentManager.getBreadCrumbShortTitleRes();FragmentManager.getBreadCrumbShortTitleRes()
android.support.v4.app.FragmentManager.getBreadCrumbTitle();FragmentManager.getBreadCrumbTitle()
android.support.v4.app.FragmentManager.getBreadCrumbShortTitle();FragmentManager.getBreadCrumbShortTitle()
android.support.v4.app.FragmentManager.onBackStackChanged();FragmentManager.onBackStackChanged()
android.support.v4.app.FragmentManager.beginTransaction();FragmentManager.beginTransaction()
android.support.v4.app.FragmentManager.openTransaction();FragmentManager.openTransaction()
android.support.v4.app.FragmentManager.executePendingTransactions();FragmentManager.executePendingTransactions()
android.support.v4.app.FragmentManager.findFragmentById(int);FragmentManager.findFragmentById(int)
android.support.v4.app.FragmentManager.findFragmentByTag(string);FragmentManager.findFragmentByTag(String)
android.support.v4.app.FragmentManager.popBackStack();FragmentManager.popBackStack()
android.support.v4.app.FragmentManager.popBackStackImmediate();FragmentManager.popBackStackImmediate()
android.support.v4.app.FragmentManager.popBackStack(int, string);FragmentManager.popBackStack(String, int)
android.support.v4.app.FragmentManager.popBackStackImmediate(int, string);FragmentManager.popBackStackImmediate(String, int)
android.support.v4.app.FragmentManager.popBackStack(int, int);FragmentManager.popBackStack(int, int)
android.support.v4.app.FragmentManager.popBackStackImmediate(int, int);FragmentManager.popBackStackImmediate(int, int)
android.support.v4.app.FragmentManager.getBackStackEntryCount();FragmentManager.getBackStackEntryCount()
android.support.v4.app.FragmentManager.getBackStackEntryAt(int);FragmentManager.getBackStackEntryAt(int)
android.support.v4.app.FragmentManager.addOnBackStackChangedListener(onbackstackchangedlistener);FragmentManager.addOnBackStackChangedListener(OnBackStackChangedListener)
android.support.v4.app.FragmentManager.removeOnBackStackChangedListener(onbackstackchangedlistener);FragmentManager.removeOnBackStackChangedListener(OnBackStackChangedListener)
android.support.v4.app.FragmentManager.putFragment(bundle, fragment, string);FragmentManager.putFragment(Bundle, String, Fragment)
android.support.v4.app.FragmentManager.getFragment(bundle, string);FragmentManager.getFragment(Bundle, String)
android.support.v4.app.FragmentManager.saveFragmentInstanceState(fragment);FragmentManager.saveFragmentInstanceState(Fragment)
android.support.v4.app.FragmentManager.dump(filedescriptor, printwriter, string, string);FragmentManager.dump(String, FileDescriptor, PrintWriter, String)
android.support.v4.app.FragmentManager.enableDebugLogging(boolean);FragmentManager.enableDebugLogging(boolean)
android.support.v4.app.FragmentManagerState.describeContents();FragmentManagerState.describeContents()
android.support.v4.app.FragmentManagerState.writeToParcel(int, parcel);FragmentManagerState.writeToParcel(Parcel, int)
android.support.v4.app.FragmentManagerState.createFromParcel(parcel);FragmentManagerState.createFromParcel(Parcel)
android.support.v4.app.FragmentManagerState.newArray(int);FragmentManagerState.newArray(int)
