Learning rate;Beta;Layers;Dropout;F-mesure
0.0825909855824;0.0312542816487;[34, 30];0.5;0.4668426
0.0442931886596;0.15087019026;[52, 20, 8];1.0;0.44421053
0.125682340774;0.075223015904;[77, 52, 13];1.0;0.44367966
0.0507095356031;0.0971387328664;[94, 38];0.6;0.43470088
0.212024507071;0.0435473965402;[89, 53, 52];0.7;0.43233937
0.308144255903;0.0177078779563;[89, 75, 59];0.5;0.4293179
0.0950358855643;0.0700148752525;[42, 23, 15];0.9;0.42921105
0.129568701887;0.0498672367961;[126, 54];0.9;0.42830572
0.0872096096271;0.0685801999775;[30, 28, 10];0.6;0.42575806
0.0371169512258;0.0909635959706;[76, 10, 10];0.8;0.42200097
0.297689662499;0.0133114845079;[68, 51, 12];0.9;0.4180495
0.0716184255517;0.416477312393;[58, 21];1.0;0.41139275
0.195430457704;0.0794960876946;[23, 15, 5];0.7;0.41130632
0.142775103987;0.182789029542;[103, 53];1.0;0.4100884
0.0953496525422;0.148877417455;[62, 16, 11];0.9;0.40967235
0.0711455597827;0.226075765062;[103, 98];0.6;0.40509826
0.0522396094572;0.140323380685;[71, 38, 24];0.5;0.40176487
0.0853599537622;0.180215584982;[83, 11, 8];0.8;0.40114036
0.548727567323;0.0116046415995;[104, 94];0.6;0.3989828
0.299315339588;0.0492046317571;[49, 49, 29];1.0;0.39852124
0.143183887399;0.300434053423;[90, 51];1.0;0.39820486
0.119696336614;0.0578831993036;[110, 18];0.9;0.3975945
0.330514299205;0.0239673261513;[125, 33];0.6;0.39675757
0.164427515262;0.11380603938;[134, 74, 9];0.8;0.39655963
0.341057353453;0.0647114681194;[67, 20, 18];1.0;0.3919638
0.506124515354;0.0404381336059;[31, 15, 13];0.8;0.3886702
0.475200347097;0.0672777832654;[13, 6];0.7;0.3879159
0.00945336901668;0.620017386639;[40, 29, 17];1.0;0.38541338
0.622580464656;0.0163414053267;[117, 71];0.8;0.38206562
0.136237297569;0.129019994095;[33, 13];0.9;0.3810403
0.167453538648;0.0661464164033;[129, 64, 26];0.7;0.3805873453617096
0.779652599679;0.00324959143317;[8, 6, 6];0.6;0.37906072
0.0355853788166;0.351818221005;[29, 6];0.6;0.3776674926280975
0.713824549866;0.0159777538161;[51, 13, 12];0.9;0.3760318
0.281715736068;0.029182093937;[122, 97, 79];1.0;0.37592912
0.178169977698;0.0327235998872;[19, 8];0.6;0.37575573
0.0738427242574;0.0382641005538;[125, 6, 4];0.8;0.37320465
0.0195635661379;0.24226882639;[43, 8];1.0;0.372549
0.0142315688477;0.408862783709;[81, 77, 29];0.9;0.37098688
0.0154582042213;0.392286978259;[123, 7];0.6;0.36939752
0.583520739262;0.0425036700526;[130, 96, 36];0.8;0.36913568
0.0393065007393;0.392787301944;[79, 52, 37];0.9;0.3679504215717316
0.603164093139;0.0241823525985;[96, 72];0.8;0.3672348
0.365149565679;0.0199329488964;[117, 102];0.9;0.36619532
0.255714202097;0.0508891986096;[139, 56, 34];0.6;0.3656989
0.0796848946964;0.207996600898;[66, 7];0.5;0.3652199387550354
0.295871365065;0.210546564408;[11, 11];0.8;0.36411807
0.570784422925;0.0214798198699;[119, 75, 18];0.9;0.36206087
0.152300472498;0.107492909759;[13, 7, 5];0.7;0.36107766032218935
0.146674347668;0.0219149838833;[43, 31];0.5;0.35951516
0.0665996640545;0.409398606358;[100, 92];0.8;0.3593554675579071
0.327593711466;0.0163928113179;[21, 17, 6];0.7;0.35846084
